,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Karlan Grant,29.0,eng ENG,FW,23-079,61,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0
1,Callum Robinson,7.0,ie IRL,FW,25-308,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Grady Diangana,11.0,cd COD,FW,22-231,45,2,1,0,1,1,2,4,50.0,2,0,0,0,0,2,0,0
3,Filip Krovinović,17.0,hr CRO,DM,25-099,45,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
4,Matheus Pereira,12.0,pt POR,AM,24-215,33,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
5,Conor Gallagher,18.0,eng ENG,"DM,CM",20-304,90,2,2,0,2,0,1,2,50.0,1,2,0,2,0,2,0,0
6,Romaine Sawyers,19.0,kn SKN,"CM,DM",29-034,79,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
7,Dara O'Shea,27.0,ie IRL,DM,21-277,11,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
8,Matt Phillips,10.0,sct SCO,WB,29-268,90,1,1,0,1,0,0,0,,0,3,0,3,0,1,1,0
9,Darnell Furlong,2.0,eng ENG,WB,25-036,90,2,2,1,1,0,1,3,33.3,2,3,2,1,2,4,0,0
10,Kyle Bartley,5.0,eng ENG,CB,29-198,90,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,9,0
11,Branislav Ivanović,20.0,rs SRB,CB,36-288,90,2,0,2,0,0,2,2,100.0,0,1,1,0,0,2,0,0
12,Semi Ajayi,6.0,ng NGA,CB,27-027,90,2,0,2,0,0,2,4,50.0,2,4,3,1,0,2,3,0
13,Sam Johnstone,1.0,eng ENG,GK,27-256,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,933,15,7,6,8,1,9,18,50.0,9,16,7,9,4,19,13,0
