,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Callum Robinson,7.0,ie IRL,FW,25-237,65,4,8,50.0,41,0,1,3,33.3,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
1,Hal Robson-Kanu,4.0,wls WAL,FW,31-128,25,3,5,60.0,36,11,0,0,,2,2,100.0,0,1,0.0,0,0.0,0.0,1,0,0,0,1
2,Grady Diangana,11.0,cd COD,LM,22-160,73,19,24,79.2,239,60,14,16,87.5,4,4,100.0,1,2,50.0,0,0.0,0.0,1,2,1,0,2
3,Matt Phillips,10.0,sct SCO,RM,29-197,17,1,6,16.7,47,45,0,0,,0,1,0.0,1,4,25.0,0,0.0,0.0,0,0,0,0,0
4,Romaine Sawyers,19.0,kn SKN,CM,28-329,90,29,34,85.3,468,107,12,12,100.0,17,17,100.0,0,2,0.0,0,0.1,0.0,1,4,1,0,5
5,Jake Livermore,8.0,eng ENG,CM,30-317,90,14,24,58.3,197,32,8,11,72.7,4,5,80.0,1,1,100.0,0,0.0,0.0,1,1,0,0,0
6,Matheus Pereira,12.0,pt POR,"RM,LM",24-144,89,29,39,74.4,375,136,20,21,95.2,5,9,55.6,2,7,28.6,1,0.1,0.0,2,2,0,0,5
7,Sam Field,28.0,eng ENG,LM,22-141,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
8,Conor Townsend,14.0,eng ENG,LB,27-206,90,20,30,66.7,286,145,11,13,84.6,9,12,75.0,0,4,0.0,0,0.0,0.0,0,1,0,0,4
9,Dara O'Shea,27.0,ie IRL,CB,21-206,90,15,23,65.2,346,185,5,5,100.0,5,8,62.5,5,10,50.0,0,0.0,0.0,0,0,0,0,2
10,Kyle Bartley,5.0,eng ENG,CB,29-127,90,8,9,88.9,232,136,1,1,100.0,3,3,100.0,4,5,80.0,0,0.0,0.0,0,1,0,0,1
11,Semi Ajayi,6.0,ng NGA,CB,26-322,90,9,15,60.0,175,87,3,4,75.0,5,7,71.4,1,4,25.0,0,0.0,0.0,0,0,0,0,0
12,Darnell Furlong,2.0,eng ENG,RB,24-331,90,22,37,59.5,384,202,14,15,93.3,5,13,38.5,3,6,50.0,1,0.3,0.3,1,1,0,0,2
13,Sam Johnstone,1.0,eng ENG,GK,27-185,90,12,29,41.4,476,323,2,2,100.0,1,1,100.0,9,25,36.0,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,185,283,65.4,3302,1469,91,103,88.3,62,86,72.1,27,71,38.0,2,0.5,0.5,7,12,2,0,22
