,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Mbaye Diagne,17.0,sn SEN,FW,29-157,90,27,3,7,8,12,1,27,0,0,,0,,16,53,19,0,0,0,2,2,22,3
1,Matheus Pereira,12.0,pt POR,"FW,LM",24-333,90,45,0,9,16,21,3,45,4,2,50.0,2,50.0,31,168,100,3,0,1,1,2,28,2
2,Ainsley Maitland-Niles,30.0,eng ENG,"CM,RM",23-217,90,46,3,11,26,9,0,46,1,1,100.0,0,0.0,29,121,45,1,1,0,5,3,27,1
3,Okay Yokuşlu,35.0,tr TUR,CM,27-025,90,62,3,16,43,4,1,62,4,2,50.0,2,50.0,35,141,32,0,0,0,4,3,31,0
4,Matt Phillips,10.0,sct SCO,RM,30-021,88,30,3,10,10,10,2,30,2,2,100.0,0,0.0,19,142,76,5,0,2,2,1,20,4
5,Jake Livermore,8.0,eng ENG,CM,31-140,2,2,0,0,2,0,0,2,0,0,,0,,1,6,5,0,0,0,1,0,1,0
6,Conor Townsend,14.0,eng ENG,LB,28-030,90,54,1,16,32,7,1,54,2,0,0.0,2,100.0,31,114,62,2,0,1,0,0,30,1
7,Semi Ajayi,6.0,ng NGA,CB,27-145,90,40,4,24,15,1,1,40,0,0,,0,,17,109,20,0,0,0,3,0,19,0
8,Kyle Bartley,5.0,eng ENG,CB,29-316,90,41,11,29,12,0,0,41,0,0,,0,,20,92,24,0,0,0,0,0,17,0
9,Dara O'Shea,27.0,ie IRL,CB,22-030,23,13,1,6,6,1,0,13,0,0,,0,,3,10,7,0,0,0,0,0,6,0
10,Branislav Ivanović,20.0,rs SRB,CB,37-040,13,3,0,0,2,1,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0
11,Callum Robinson,7.0,ie IRL,LM,26-060,54,21,1,3,15,4,3,21,2,2,100.0,0,0.0,19,161,101,3,1,0,1,0,16,4
12,Darnell Furlong,2.0,eng ENG,RB,25-154,90,44,10,17,16,11,2,44,1,1,100.0,0,0.0,19,138,60,1,0,0,0,0,20,2
13,Sam Johnstone,1.0,eng ENG,GK,28-009,90,34,29,33,1,0,0,34,0,0,,0,,14,111,74,0,0,0,0,0,6,0
14,14 Players,,,,,990,462,69,181,204,81,14,462,16,10,62.5,6,37.5,254,1366,625,15,2,4,19,11,243,17
