,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Michail Antonio,30.0,jm JAM,FW,30-315,73,18,0,2,8,8,1,18,2,0,0.0,2,100.0,7,8,2,0,0,0,3,1,15,5
1,Ryan Fredericks,24.0,eng ENG,RW,28-119,17,7,0,3,1,3,1,7,0,0,,0,,1,13,0,0,0,0,0,0,2,1
2,Saïd Benrahma,9.0,dz ALG,LW,25-180,55,20,1,6,8,6,1,20,3,1,33.3,2,66.7,13,106,45,2,0,1,3,0,11,3
3,Andriy Yarmolenko,7.0,ua UKR,"FW,RW",31-106,35,8,0,1,4,3,0,8,1,1,100.0,0,0.0,7,42,24,1,0,0,0,3,9,2
4,Jarrod Bowen,20.0,eng ENG,RW,24-048,55,13,0,3,5,5,3,13,1,1,100.0,0,0.0,13,97,44,3,1,2,2,1,11,4
5,Mark Noble,16.0,eng ENG,RM,33-274,35,20,1,4,14,2,0,20,0,0,,0,,8,30,14,1,0,0,1,1,11,0
6,Jesse Lingard,11.0,eng ENG,"AM,LW",28-053,90,42,1,5,19,18,1,42,1,0,0.0,1,100.0,16,114,66,2,2,0,0,1,32,3
7,Declan Rice,41.0,eng ENG,"DM,CM",22-023,90,67,3,21,40,7,2,67,1,1,100.0,0,0.0,34,181,99,2,3,0,3,0,41,0
8,Tomáš Souček,28.0,cz CZE,"DM,LM",25-345,89,53,9,15,29,9,3,53,0,0,,0,,15,58,6,0,0,0,2,0,31,1
9,Aaron Cresswell,3.0,eng ENG,LB,31-053,90,69,2,22,25,22,0,69,0,0,,0,,31,120,61,1,0,0,0,1,41,2
10,Angelo Ogbonna,21.0,it ITA,CB,32-259,90,40,5,24,15,1,1,40,0,0,,0,,24,125,25,0,0,0,0,0,21,0
11,Craig Dawson,15.0,eng ENG,CB,30-276,90,43,8,23,19,1,1,43,0,0,,0,,24,81,43,0,0,0,0,0,25,0
12,Vladimír Coufal,5.0,cz CZE,RB,28-168,90,61,7,25,23,15,2,61,0,0,,0,,28,115,56,1,0,1,2,0,25,5
13,Łukasz Fabiański,1.0,pl POL,GK,35-294,90,33,30,33,0,0,0,33,0,0,,0,,13,80,43,0,0,0,0,0,9,0
14,14 Players,,,,,989,494,67,187,210,100,16,494,9,4,44.4,5,55.6,234,1170,528,13,6,4,16,8,284,26
