,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Jesse Lingard,11.0,eng ENG,FW,28-117,90,25,33,75.8,375,63,13,14,92.9,10,13,76.9,1,2,50.0,0,0.0,0.0,0,1,0,0,1
1,Jarrod Bowen,20.0,eng ENG,FW,24-112,83,8,11,72.7,108,25,4,5,80.0,3,4,75.0,0,1,0.0,1,0.3,0.1,1,1,1,0,2
2,Saïd Benrahma,9.0,dz ALG,FW,25-244,7,1,3,33.3,9,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
3,Pablo Fornals,18.0,es ESP,AM,25-048,90,20,24,83.3,292,84,13,13,100.0,5,7,71.4,1,2,50.0,0,0.0,0.0,0,2,0,0,3
4,Tomáš Souček,28.0,cz CZE,CM,26-043,90,33,41,80.5,463,47,20,22,90.9,10,12,83.3,2,3,66.7,1,0.4,0.1,1,1,0,0,3
5,Mark Noble,16.0,eng ENG,CM,33-338,81,40,47,85.1,701,225,19,22,86.4,14,16,87.5,6,6,100.0,0,0.0,0.0,0,2,0,0,1
6,Ben Johnson,31.0,eng ENG,CM,21-077,9,1,4,25.0,10,8,1,2,50.0,0,0,,0,2,0.0,0,0.0,0.0,0,0,0,0,0
7,Arthur Masuaku,26.0,cd COD,WB,27-155,90,33,42,78.6,626,217,15,18,83.3,12,14,85.7,5,7,71.4,0,0.0,0.0,0,2,0,0,3
8,Vladimír Coufal,5.0,cz CZE,WB,28-232,90,36,62,58.1,552,318,19,25,76.0,14,23,60.9,2,11,18.2,1,0.2,0.1,2,1,1,0,2
9,Aaron Cresswell,3.0,eng ENG,CB,31-117,52,22,32,68.8,280,77,16,21,76.2,5,7,71.4,1,4,25.0,0,0.0,0.0,0,1,0,0,2
10,Fabián Balbuena,4.0,py PAR,CB,29-231,38,5,7,71.4,70,39,3,3,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
11,Craig Dawson,15.0,eng ENG,CB,30-340,90,21,29,72.4,566,168,3,7,42.9,11,11,100.0,7,10,70.0,0,0.0,0.0,0,0,0,0,0
12,Issa Diop,23.0,fr FRA,CB,24-092,90,28,37,75.7,586,307,9,11,81.8,16,18,88.9,3,6,50.0,0,0.0,0.0,0,2,0,0,3
13,Łukasz Fabiański,1.0,pl POL,GK,35-358,90,16,32,50.0,618,468,1,1,100.0,4,4,100.0,11,27,40.7,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,289,404,71.5,5256,2046,137,165,83.0,106,134,79.1,39,81,48.1,3,0.8,0.3,4,13,2,0,20
