,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Daniel Podence,10.0,pt POR,FW,25-061,90,31,30,1,0,0,2,2,1,0,0,0,0,24,0,0
1,Pedro Neto,7.0,pt POR,"FW,WB",20-287,90,44,37,7,2,0,0,5,0,2,0,1,0,35,0,1
2,Owen Otasowie,54.0,us USA,AM,19-350,59,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0
3,Fábio Silva,17.0,pt POR,AM,18-155,31,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0
4,João Moutinho,28.0,pt POR,CM,34-104,90,82,75,7,2,1,0,4,0,5,1,0,0,71,0,1
5,Rúben Neves,8.0,pt POR,CM,23-283,75,57,56,0,0,0,1,1,0,0,0,0,0,47,1,1
6,Vitinha,20.0,pt POR,CM,20-312,15,12,11,0,0,0,0,0,0,0,0,0,0,10,1,0
7,Rayan Aït Nouri,3.0,dz ALG,WB,19-198,59,18,15,3,0,0,1,1,3,0,0,0,0,16,0,0
8,Adama Traoré,37.0,es ESP,FW,24-331,31,20,20,0,0,0,0,7,0,0,0,0,0,14,0,1
9,Nélson Semedo,22.0,pt POR,WB,27-035,90,62,46,16,1,0,0,0,15,0,0,0,0,54,0,1
10,Romain Saïss,27.0,ma MAR,CB,30-270,90,61,56,5,0,0,0,2,5,0,0,0,0,44,0,0
11,Conor Coady,16.0,eng ENG,CB,27-300,90,54,51,3,3,0,2,0,0,0,0,0,0,46,0,0
12,Max Kilman,49.0,eng ENG,CB,23-212,90,33,33,0,0,0,0,0,0,0,0,0,0,25,0,0
13,Rui Patrício,11.0,pt POR,GK,32-310,90,18,6,12,1,0,0,0,0,0,0,0,0,13,0,0
14,14 Players,,,,,990,514,458,54,9,1,6,22,24,7,1,1,0,415,2,5
