,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Alexandre Lacazette,9.0,fr FRA,FW,30-316,90,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,20.0
1,Gabriel Martinelli,35.0,br BRA,"LW,LM",20-295,73,0,0,0,2,1,1,3,0,0,0,0,0,3,1,0,100.0
2,Nicolas Pépé,19.0,ci CIV,RM,26-315,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
3,Bukayo Saka,7.0,eng ENG,"RW,LM,RM",20-216,90,1,0,0,3,3,0,3,1,0,0,0,0,4,1,1,50.0
4,Emile Smith Rowe,10.0,eng ENG,AM,21-255,61,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,
5,Eddie Nketiah,30.0,eng ENG,FW,22-314,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
6,Albert Sambi Lokonga,23.0,be BEL,"DM,CM",22-169,90,1,0,0,1,3,0,0,1,1,0,0,0,5,0,2,0.0
7,Martin Ødegaard,8.0,no NOR,"DM,CM",23-113,90,1,0,0,2,2,1,4,0,1,0,0,0,6,0,2,0.0
8,Granit Xhaka,34.0,ch SUI,LB,29-194,90,0,0,0,1,1,0,1,1,0,0,0,0,7,0,0,
9,Gabriel Dos Santos,6.0,br BRA,CB,24-111,90,0,0,0,1,1,0,0,0,0,0,0,0,4,4,3,57.1
10,Ben White,4.0,eng ENG,CB,24-183,90,0,0,0,0,2,0,0,2,1,0,0,0,8,0,2,0.0
11,Cédric Soares,17.0,pt POR,RB,30-221,90,0,0,0,1,0,0,10,1,3,0,0,0,6,1,0,100.0
12,Aaron Ramsdale,32.0,eng ENG,GK,23-330,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
13,13 Players,,,,,990,3,0,0,12,17,2,23,6,6,0,0,0,52,9,16,36.0
