,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Pierre-Emerick Aubameyang,14.0,ga GAB,FW,32-100,90,35,0,4,13,18,6,35,0,0,,0,,16,59,29,1,0,1,3,0,26,6
1,Emile Smith Rowe,10.0,eng ENG,LW,21-060,87,32,0,4,15,13,3,32,2,2,100.0,0,0.0,28,129,66,2,1,1,2,2,27,5
2,Nuno Tavares,20.0,pt POR,LW,21-243,3,5,0,1,0,4,1,5,0,0,,0,,1,1,0,0,0,0,0,0,2,0
3,Bukayo Saka,7.0,eng ENG,RW,20-021,86,51,1,8,18,25,5,51,3,0,0.0,3,100.0,36,200,115,4,2,1,3,2,41,8
4,Ainsley Maitland-Niles,15.0,eng ENG,RW,24-028,4,4,0,0,2,2,0,4,0,0,,0,,1,8,6,0,0,0,0,0,4,2
5,Martin Ødegaard,8.0,no NOR,AM,22-283,90,60,0,10,22,28,2,60,0,0,,0,,41,188,79,2,5,1,1,4,46,3
6,Granit Xhaka,34.0,ch SUI,DM,28-364,81,54,2,11,38,5,0,54,2,2,100.0,0,0.0,31,114,54,0,2,0,0,1,35,3
7,Albert Sambi Lokonga,23.0,be BEL,DM,21-339,9,7,1,2,3,2,0,7,1,1,100.0,0,0.0,3,31,13,0,1,0,1,0,3,0
8,Thomas Partey,5.0,gh GHA,DM,28-105,90,45,3,12,24,9,0,45,1,0,0.0,1,100.0,26,137,43,0,3,0,2,0,28,0
9,Kieran Tierney,3.0,sct SCO,LB,24-113,90,58,5,16,26,17,0,58,1,0,0.0,1,100.0,35,174,104,2,2,0,0,0,37,7
10,Gabriel Dos Santos,6.0,br BRA,CB,23-281,90,58,9,27,29,2,2,58,0,0,,0,,36,126,50,0,0,0,0,0,39,0
11,Ben White,4.0,eng ENG,CB,23-353,90,50,5,32,18,0,0,50,0,0,,0,,38,127,49,0,0,0,0,0,35,0
12,Takehiro Tomiyasu,18.0,jp JPN,RB,22-325,90,66,4,29,26,11,1,66,0,0,,0,,33,163,97,2,3,0,2,0,34,2
13,Aaron Ramsdale,32.0,eng ENG,GK,23-135,90,41,29,40,1,0,0,41,0,0,,0,,20,127,63,0,0,0,0,0,18,0
14,14 Players,,,,,990,566,59,196,235,136,20,566,10,5,50.0,5,50.0,345,1584,768,13,19,4,14,9,375,36
