,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Danny Ings,20.0,eng ENG,FW,29-120,65,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0.0
1,Leon Bailey,31.0,jm JAM,RW,24-103,25,0,0,0,1,0,1,1,0,0,0,0,0,4,0,0,
2,Ollie Watkins,11.0,eng ENG,"LW,FW",25-325,90,0,0,0,0,0,0,1,1,0,0,0,0,4,2,7,22.2
3,Emi Buendía,10.0,ar ARG,"RW,LW",24-330,73,0,0,0,0,1,0,3,0,1,0,0,0,4,1,1,50.0
4,Ashley Young,18.0,eng ENG,"LM,LW",36-134,17,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
5,Jacob Ramsey,41.0,eng ENG,LM,20-176,83,0,0,0,1,4,0,1,0,1,0,0,0,3,0,1,0.0
6,Anwar El Ghazi,21.0,nl NED,LW,26-201,7,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,
7,Marvelous Nakamba,19.0,zw ZIM,CM,27-305,90,1,0,0,2,1,0,0,1,2,0,0,0,10,0,0,
8,John McGinn,7.0,sct SCO,RM,27-033,90,0,0,0,0,1,0,3,3,2,0,0,0,5,2,0,100.0
9,Matt Targett,3.0,eng ENG,LB,26-063,90,0,0,0,2,1,0,6,0,4,0,0,0,2,1,1,50.0
10,Tyrone Mings,5.0,eng ENG,CB,28-252,90,0,0,0,0,1,0,0,0,0,0,0,0,7,3,1,75.0
11,Ezri Konsa,4.0,eng ENG,CB,24-028,90,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
12,Matty Cash,2.0,pl POL,RB,24-105,90,1,0,0,1,1,0,1,3,0,0,0,0,1,0,2,0.0
13,Emiliano Martínez,1.0,ar ARG,GK,29-079,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14 Players,,,,,990,3,0,0,7,13,1,19,9,10,0,0,0,48,9,16,36.0
