,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Ollie Watkins,11.0,eng ENG,FW,26-100,90,21,18,3,0,0,0,0,2,0,0,0,0,12,0,1
1,Danny Ings,20.0,eng ENG,FW,29-260,69,14,13,1,0,0,0,1,0,0,0,0,0,9,0,1
2,Leon Bailey,31.0,jm JAM,FW,24-243,21,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
3,Philippe Coutinho,23.0,br BRA,AM,29-301,69,49,44,5,2,0,0,1,0,0,0,0,0,37,0,2
4,Emi Buendía,10.0,ar ARG,AM,25-105,21,14,12,1,0,0,0,0,1,0,0,0,0,12,1,0
5,Jacob Ramsey,41.0,eng ENG,LM,20-316,90,65,64,1,0,0,0,1,1,0,0,0,0,61,0,1
6,Douglas Luiz,6.0,br BRA,CM,23-335,90,79,70,9,5,0,0,4,0,4,2,1,0,73,0,1
7,John McGinn,7.0,sct SCO,RM,27-173,90,56,53,3,3,0,1,1,0,0,0,0,0,45,0,0
8,Lucas Digne,27.0,fr FRA,LB,28-263,78,67,53,14,4,0,0,15,5,5,2,3,0,50,0,3
9,Ashley Young,18.0,eng ENG,LB,36-274,12,9,8,1,0,0,0,2,1,0,0,0,0,7,0,0
10,Tyrone Mings,5.0,eng ENG,CB,29-027,90,41,40,1,0,0,0,0,1,0,0,0,0,39,0,0
11,Ezri Konsa,4.0,eng ENG,CB,24-168,90,49,48,1,1,0,0,0,0,0,0,0,0,49,0,0
12,Matty Cash,2.0,pl POL,RB,24-245,90,41,36,5,0,0,0,2,5,0,0,0,0,35,0,1
13,Emiliano Martínez,1.0,ar ARG,GK,29-219,90,13,9,4,0,0,0,0,0,0,0,0,0,12,0,0
14,14 Players,,,,,990,523,473,49,15,0,1,27,16,9,4,4,0,446,1,10
