,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Ollie Watkins,11.0,eng ENG,FW,25-269,90,11,13,84.6,109,10,6,8,75.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,0
1,Danny Ings,20.0,eng ENG,FW,29-064,77,16,26,61.5,179,48,9,13,69.2,3,5,60.0,1,3,33.3,0,0.0,0.1,0,3,1,0,2
2,Emi Buendía,10.0,ar ARG,FW,24-274,13,6,7,85.7,52,10,4,5,80.0,0,0,,0,0,,0,0.0,0.1,1,0,0,0,1
3,Jacob Ramsey,41.0,eng ENG,CM,20-120,85,15,20,75.0,250,83,9,10,90.0,4,7,57.1,2,2,100.0,0,0.0,0.0,0,2,2,1,3
4,Cameron Archer,35.0,eng ENG,CM,20-066,5,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
5,Douglas Luiz,6.0,br BRA,CM,23-139,90,22,34,64.7,350,135,13,15,86.7,5,8,62.5,3,8,37.5,1,0.5,0.4,3,1,0,0,2
6,John McGinn,7.0,sct SCO,CM,26-342,90,15,27,55.6,291,98,4,9,44.4,7,11,63.6,3,4,75.0,0,0.0,0.1,0,3,2,0,5
7,Matt Targett,3.0,eng ENG,WB,26-007,90,25,41,61.0,395,208,13,19,68.4,10,14,71.4,1,4,25.0,0,0.0,0.0,0,2,0,0,3
8,Matty Cash,2.0,pl POL,WB,24-049,90,19,30,63.3,349,175,10,11,90.9,5,9,55.6,3,8,37.5,0,0.3,0.3,1,0,0,0,0
9,Tyrone Mings,5.0,eng ENG,CB,28-196,90,23,31,74.2,436,231,8,10,80.0,13,15,86.7,1,4,25.0,0,0.0,0.0,0,4,0,0,4
10,Kortney Hause,30.0,eng ENG,CB,26-071,90,23,30,76.7,453,102,10,12,83.3,9,11,81.8,4,6,66.7,0,0.0,0.0,0,2,0,0,1
11,Ezri Konsa,4.0,eng ENG,CB,23-337,90,20,22,90.9,312,161,9,11,81.8,11,11,100.0,0,0,,0,0.0,0.0,0,1,0,0,3
12,Emiliano Martínez,1.0,ar ARG,GK,29-023,90,19,40,47.5,660,500,4,4,100.0,5,5,100.0,10,31,32.3,0,0.0,0.0,0,1,0,0,0
13,13 Players,,,,,990,214,321,66.7,3836,1761,99,127,78.0,73,97,75.3,29,71,40.8,1,0.8,1.0,5,21,5,1,24
