,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Neal Maupay,9.0,fr FRA,FW,25-214,90,29,0,1,14,14,3,29,1,1,100.0,0,0.0,21,96,28,1,1,2,1,3,26,7
1,Leandro Trossard,11.0,be BEL,"LW,LM",27-102,90,59,0,4,25,34,3,59,3,3,100.0,0,0.0,38,312,159,4,2,2,6,2,41,7
2,Solly March,20.0,eng ENG,"RW,RM",27-239,90,41,2,4,10,28,2,41,0,0,,0,,25,189,82,2,4,1,1,1,30,11
3,Alexis Mac Allister,10.0,ar ARG,"AM,CM",23-082,90,50,0,6,27,17,3,50,0,0,,0,,26,123,64,0,2,0,3,0,35,2
4,Yves Bissouma,8.0,ml MLI,DM,25-198,61,38,2,6,26,7,0,38,0,0,,0,,19,89,24,0,0,0,0,1,24,0
5,Danny Welbeck,18.0,eng ENG,FW,31-110,29,8,0,0,3,5,0,8,1,1,100.0,0,0.0,6,35,19,1,1,0,2,0,5,1
6,Pascal Groß,13.0,de GER,"DM,CM",30-274,77,70,0,2,43,25,0,70,0,0,,0,,36,188,74,1,2,0,0,1,49,2
7,Tariq Lamptey,2.0,gh GHA,RB,21-167,13,12,1,1,5,6,0,12,0,0,,0,,7,67,57,2,2,0,1,0,6,1
8,Marc Cucurella,3.0,es ESP,LB,23-237,90,73,4,14,31,29,4,73,1,1,100.0,0,0.0,39,145,91,2,2,0,3,0,47,9
9,Lewis Dunk,5.0,eng ENG,CB,30-115,90,85,9,32,47,6,1,85,0,0,,0,,50,278,120,1,1,0,0,0,67,0
10,Shane Duffy,24.0,ie IRL,CB,30-074,90,71,7,29,36,6,4,71,0,0,,0,,38,120,42,0,0,0,1,0,50,0
11,Joël Veltman,34.0,nl NED,RB,30-060,77,59,1,14,26,19,3,59,1,0,0.0,1,100.0,29,93,25,0,1,0,0,1,39,3
12,Jakub Moder,15.0,pl POL,CM,22-343,13,5,0,0,3,3,1,5,0,0,,0,,4,29,10,1,1,0,0,1,4,2
13,Robert Sánchez,1.0,es ESP,GK,24-118,90,40,31,40,0,0,0,40,0,0,,0,,17,85,53,0,0,0,0,0,22,0
14,14 Players,,,,,990,640,57,153,296,199,24,640,7,6,85.7,1,14.3,355,1849,848,15,19,5,18,10,445,45
