,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Leandro Trossard,11.0,be BEL,FW,27-029,80,24,28,85.7,373,90,16,17,94.1,4,6,66.7,3,3,100.0,0,0.0,0.1,1,1,3,0,5
1,Jakub Moder,15.0,pl POL,CM,22-270,10,5,9,55.6,72,33,2,3,66.7,2,3,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,0
2,Neal Maupay,9.0,fr FRA,FW,25-141,90,15,25,60.0,180,24,11,16,68.8,4,6,66.7,0,0,,1,0.5,0.2,2,0,0,0,2
3,Alexis Mac Allister,10.0,ar ARG,"LM,CM",23-009,90,32,44,72.7,517,251,20,25,80.0,7,9,77.8,4,7,57.1,0,0.1,0.1,2,8,0,0,9
4,Yves Bissouma,8.0,ml MLI,CM,25-125,90,37,45,82.2,583,186,20,21,95.2,13,19,68.4,2,3,66.7,0,0.0,0.0,0,1,1,0,4
5,Adam Lallana,14.0,eng ENG,CM,33-237,60,36,47,76.6,565,163,18,23,78.3,17,19,89.5,1,3,33.3,0,0.0,0.0,0,2,1,0,3
6,Tariq Lamptey,2.0,gh GHA,RB,21-094,30,5,10,50.0,86,28,2,3,66.7,3,6,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
7,Enock Mwepu,12.0,zm ZAM,"RM,CM,FW",24-001,90,29,38,76.3,365,91,20,23,87.0,7,11,63.6,1,3,33.3,2,0.9,0.3,2,1,1,0,2
8,Marc Cucurella,3.0,es ESP,LB,23-164,90,33,48,68.8,417,220,20,23,87.0,10,13,76.9,0,6,0.0,0,0.0,0.0,0,2,0,0,6
9,Dan Burn,33.0,eng ENG,CB,29-238,90,25,35,71.4,490,202,5,6,83.3,19,21,90.5,1,7,14.3,0,0.0,0.0,0,2,1,0,4
10,Adam Webster,4.0,eng ENG,CB,26-363,90,34,46,73.9,629,222,12,14,85.7,19,22,86.4,2,9,22.2,0,0.0,0.0,0,1,0,0,1
11,Joël Veltman,34.0,nl NED,RB,29-352,60,29,37,78.4,502,258,14,16,87.5,11,13,84.6,4,7,57.1,0,0.0,0.0,0,1,2,2,2
12,Shane Duffy,24.0,ie IRL,CB,30-001,30,7,8,87.5,155,57,2,3,66.7,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
13,Robert Sánchez,1.0,es ESP,GK,24-045,90,16,36,44.4,509,348,2,2,100.0,8,8,100.0,6,26,23.1,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,327,456,71.7,5443,2173,164,195,84.1,129,161,80.1,24,76,31.6,3,1.6,0.8,7,20,9,2,38
