,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Kai Havertz,29.0,de GER,"FW,AM",22-173,90,1,0,0,1,0,0,0,,0,1,0,1,0,1,2,0
1,Christian Pulisic,10.0,us USA,"AM,WB",23-074,90,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,3,0
2,Mason Mount,19.0,eng ENG,"AM,CM",22-325,90,2,0,2,0,0,1,2,50.0,1,0,0,0,1,3,2,0
3,Saúl Ñíguez,17.0,es ESP,CM,27-010,45,2,1,2,0,0,1,2,50.0,1,1,0,1,0,2,1,0
4,Thiago Silva,6.0,br BRA,CB,37-070,45,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
5,Ruben Loftus-Cheek,12.0,eng ENG,CM,25-312,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
6,Marcos Alonso,3.0,es ESP,WB,30-338,90,3,2,3,0,0,1,3,33.3,2,4,1,3,3,6,6,0
7,César Azpilicueta,28.0,es ESP,WB,32-095,68,2,2,2,0,0,1,1,100.0,0,1,1,0,0,2,2,0
8,Romelu Lukaku,9.0,be BEL,FW,28-202,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
9,Antonio Rüdiger,2.0,de GER,CB,28-273,90,2,1,2,0,0,2,2,100.0,0,0,0,0,5,7,13,0
10,Andreas Christensen,4.0,dk DEN,CB,25-235,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,6,0
11,Trevoh Chalobah,14.0,eng ENG,"CB,CM",22-149,59,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0
12,Hakim Ziyech,22.0,ma MAR,AM,28-257,31,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
13,Edouard Mendy,16.0,sn SEN,GK,29-275,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,12,6,11,1,0,6,14,42.9,8,9,4,5,15,27,42,0
