,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Romelu Lukaku,9.0,be BEL,FW,28-247,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0.0
1,Hakim Ziyech,22.0,ma MAR,AM,28-302,68,0,0,0,0,3,1,2,1,0,0,0,0,3,0,3,0.0
2,Callum Hudson-Odoi,20.0,eng ENG,"LM,AM",21-069,22,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0.0
3,Christian Pulisic,10.0,us USA,AM,23-119,68,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
4,Timo Werner,11.0,de GER,"RM,AM",25-315,22,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0.0
5,Mateo Kovačić,8.0,hr CRO,CM,27-254,90,1,0,0,3,4,0,0,1,3,0,0,0,7,0,0,
6,N'Golo Kanté,7.0,fr FRA,CM,30-292,90,0,0,0,0,1,0,0,1,3,0,0,0,8,0,0,
7,Marcos Alonso,3.0,es ESP,WB,31-018,80,1,0,0,1,2,0,2,1,2,0,0,0,7,1,2,33.3
8,Mason Mount,19.0,eng ENG,FW,23-005,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
9,César Azpilicueta,28.0,es ESP,"WB,RB",32-140,90,0,0,0,1,0,1,2,0,2,0,0,0,6,3,1,75.0
10,Malang Sarr,31.0,fr FRA,"CB,LB",22-357,90,0,0,0,0,0,0,0,4,3,0,0,0,7,1,0,100.0
11,Thiago Silva,6.0,br BRA,CB,37-115,90,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,
12,Antonio Rüdiger,2.0,de GER,CB,28-318,90,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,100.0
13,Kepa Arrizabalaga,1.0,es ESP,GK,27-104,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,2,0,0,6,11,4,11,11,13,0,0,0,50,6,16,27.3
