,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Christian Benteke,20.0,be BEL,FW,30-261,90,24,23,1,0,0,0,0,1,0,0,0,0,15,0,1
1,Jeffrey Schlupp,15.0,gh GHA,LW,28-241,67,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0
2,Jordan Ayew,9.0,gh GHA,LW,29-344,23,10,10,0,0,0,0,2,0,0,0,0,0,8,0,0
3,Wilfried Zaha,11.0,ci CIV,RW,28-284,90,32,31,1,0,0,0,2,1,0,0,0,0,23,0,1
4,James McArthur,18.0,sct SCO,LM,33-318,90,37,35,2,1,0,0,0,0,0,0,0,0,25,0,2
5,Cheikhou Kouyaté,8.0,sn SEN,CM,31-243,90,43,42,1,1,0,0,0,0,0,0,0,0,33,0,0
6,Conor Gallagher,23.0,eng ENG,RM,21-196,90,29,23,6,3,0,0,4,0,3,1,1,0,21,0,1
7,Tyrick Mitchell,3.0,eng ENG,LB,21-354,90,67,52,15,0,0,0,1,15,0,0,0,0,48,0,3
8,Marc Guéhi,6.0,eng ENG,CB,21-039,90,54,51,2,2,0,4,1,0,0,0,0,0,46,1,0
9,Joachim Andersen,16.0,dk DEN,CB,25-082,90,64,60,4,3,0,0,0,1,0,0,0,0,52,0,1
10,Joel Ward,2.0,eng ENG,RB,31-296,90,68,55,13,0,0,0,2,13,0,0,0,0,55,0,2
11,Vicente Guaita,13.0,es ESP,GK,34-223,90,37,25,12,1,0,0,0,0,0,0,0,0,22,0,0
12,12 Players,,,,,990,481,423,57,11,0,4,12,31,3,1,1,0,362,1,11
