,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Richarlison,7.0,br BRA,FW,24-181,90,0,0,0,0,1,0,1,0,24,0,2,0,0.0,0.0,0.0,0,0,8,13,61.5,0,16,0,3,1
1,Andros Townsend,14.0,eng ENG,FW,30-114,90,0,0,0,0,0,0,0,0,48,1,1,0,0.0,0.0,0.0,2,0,25,34,73.5,2,31,0,3,2
2,Demarai Gray,11.0,jm JAM,LM,25-132,89,0,0,0,0,5,0,0,0,53,3,1,1,0.3,0.3,0.0,4,0,28,34,82.4,1,39,5,6,4
3,Jean-Philippe Gbamin,25.0,ci CIV,LM,26-043,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
4,Allan,6.0,br BRA,CM,30-303,81,0,0,0,0,0,0,0,0,50,4,0,0,0.0,0.0,0.1,3,0,38,44,86.4,12,31,3,3,3
5,Mason Holgate,4.0,eng ENG,CM,25-016,8,0,0,0,0,0,0,0,1,2,0,1,0,0.0,0.0,0.0,0,0,0,2,0.0,0,3,0,0,0
6,Fabian Delph,8.0,eng ENG,CM,31-351,59,0,0,0,0,0,0,1,0,48,3,2,1,0.0,0.0,0.0,1,0,34,40,85.0,6,28,0,1,0
7,Tom Davies,26.0,eng ENG,CM,23-130,31,0,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0.0,1,0,8,11,72.7,1,6,1,0,0
8,Anthony Gordon,24.0,eng ENG,RM,20-256,90,0,0,0,0,2,0,0,0,38,4,0,1,0.1,0.1,0.1,1,0,21,25,84.0,3,19,1,1,0
9,Lucas Digne,12.0,fr FRA,LB,28-110,90,0,0,0,0,0,0,0,0,71,1,1,2,0.0,0.0,0.1,3,0,53,62,85.5,3,40,2,1,0
10,Michael Keane,5.0,eng ENG,CB,28-300,90,0,0,0,0,1,0,0,0,68,1,5,2,0.0,0.0,0.0,0,0,46,58,79.3,3,39,0,1,1
11,Ben Godfrey,22.0,eng ENG,CB,23-296,90,0,0,0,0,1,1,0,0,54,0,1,3,0.0,0.0,0.0,2,0,43,49,87.8,2,33,0,0,0
12,Séamus Coleman,23.0,ie IRL,RB,33-027,90,0,0,0,0,0,0,0,0,84,5,1,0,0.0,0.0,0.0,1,0,52,72,72.2,3,41,2,3,2
13,Jordan Pickford,1.0,eng ENG,GK,27-245,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,17,27,63.0,0,16,0,0,0
14,14 Players,,,,,989,0,0,0,0,12,2,2,1,584,22,15,10,0.6,0.6,0.4,18,0,373,471,79.2,36,342,14,22,13
