,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Daniel James,20.0,wls WAL,FW,24-105,60,12,0,0,8,4,0,12,0,0,,0,,7,17,9,0,0,0,1,0,7,4
1,Joe Gelhardt,30.0,eng ENG,FW,19-295,30,6,0,1,5,0,0,6,0,0,,0,,3,9,6,0,0,0,0,0,4,1
2,Jack Harrison,22.0,eng ENG,LM,25-095,90,45,3,11,23,12,2,45,1,1,100.0,0,0.0,27,171,49,2,1,0,4,3,25,6
3,Rodrigo,19.0,es ESP,CM,30-354,45,20,1,2,15,4,0,20,1,1,100.0,0,0.0,16,117,70,1,1,0,1,1,13,0
4,Tyler Roberts,11.0,wls WAL,CM,23-042,45,17,1,2,12,3,0,17,1,1,100.0,0,0.0,10,73,51,2,1,0,2,1,13,0
5,Mateusz Klich,43.0,pl POL,CM,31-255,45,19,0,3,15,1,0,19,1,1,100.0,0,0.0,14,47,24,0,0,0,2,0,14,1
6,Jamie Shackleton,46.0,eng ENG,RB,22-138,45,30,1,19,10,3,0,30,2,1,50.0,1,50.0,22,84,34,0,2,0,0,0,20,0
7,Raphinha,10.0,br BRA,RM,25-071,90,32,3,10,13,9,0,32,1,1,100.0,0,0.0,24,69,41,1,2,0,3,0,23,3
8,Adam Forshaw,4.0,eng ENG,DM,30-138,90,63,2,22,36,6,0,63,2,2,100.0,0,0.0,42,186,71,1,1,0,2,0,37,0
9,Junior Firpo,3.0,es ESP,LB,25-185,90,50,5,27,20,5,1,50,0,0,,0,,25,72,50,1,0,0,0,0,20,2
10,Pascal Struijk,21.0,nl NED,CB,22-196,90,49,8,39,10,0,0,49,1,1,100.0,0,0.0,30,71,34,0,0,0,0,0,31,0
11,Luke Ayling,2.0,eng ENG,CB,30-182,90,69,22,57,12,0,0,69,1,1,100.0,0,0.0,44,142,45,0,2,0,1,0,45,0
12,Stuart Dallas,15.0,nir NIR,"CM,RB",30-310,90,49,3,25,21,3,1,49,1,1,100.0,0,0.0,29,149,92,1,1,0,1,2,26,1
13,Illan Meslier,1.0,fr FRA,GK,21-358,90,50,49,50,0,0,0,50,0,0,,0,,35,207,147,0,0,0,1,0,22,0
14,14 Players,,,,,990,511,98,268,200,50,4,511,12,11,91.7,1,8.3,328,1414,723,9,11,0,18,7,300,18
