,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Daniel James,20.0,wls WAL,FW,24-143,58,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0.0
1,Joe Gelhardt,30.0,eng ENG,FW,19-333,32,0,0,0,0,2,0,0,0,1,0,0,0,3,2,0,100.0
2,Jack Harrison,22.0,eng ENG,LW,25-133,90,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,
3,Raphinha,10.0,br BRA,RW,25-109,90,0,0,0,1,0,0,4,0,0,0,0,0,5,1,0,100.0
4,Rodrigo,19.0,es ESP,AM,31-027,90,0,0,0,3,2,0,1,0,1,0,0,0,1,0,1,0.0
5,Adam Forshaw,4.0,eng ENG,DM,30-176,90,0,0,0,1,0,0,0,1,1,0,0,0,11,3,0,100.0
6,Mateusz Klich,43.0,pl POL,DM,31-293,65,0,0,0,3,0,0,1,0,1,0,0,0,3,0,1,0.0
7,Kalvin Phillips,23.0,eng ENG,DM,26-121,25,0,0,0,0,0,0,0,1,0,0,0,0,8,2,2,50.0
8,Stuart Dallas,15.0,nir NIR,"LB,RB",30-348,90,0,0,0,0,1,0,1,1,0,0,0,0,9,6,2,75.0
9,Liam Cooper,6.0,sct SCO,CB,30-215,90,0,0,0,1,0,0,0,4,0,0,0,0,5,10,2,83.3
10,Diego Llorente,14.0,es ESP,CB,28-229,90,0,0,0,3,1,0,0,2,4,0,0,0,8,6,5,54.5
11,Luke Ayling,2.0,eng ENG,RB,30-220,88,1,0,0,2,1,0,0,1,3,0,0,0,14,1,3,25.0
12,Pascal Struijk,21.0,nl NED,"LB,RB",22-234,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
13,Illan Meslier,1.0,fr FRA,GK,22-031,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,1,0,0,14,7,0,11,10,11,0,0,0,77,31,18,63.3
