,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Rodrigo,19.0,es ESP,"FW,CM",31-066,90,27,33,81.8,327,35,15,19,78.9,7,8,87.5,1,1,100.0,0,0.0,0.0,0,1,0,0,2
1,Jack Harrison,22.0,eng ENG,"LM,CM",25-172,36,9,11,81.8,110,26,7,8,87.5,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
2,Junior Firpo,3.0,es ESP,LB,25-262,54,17,18,94.4,223,120,11,11,100.0,6,6,100.0,0,1,0.0,0,0.1,0.0,1,1,1,1,1
3,Lewis Bate,26.0,eng ENG,CM,19-194,58,14,19,73.7,172,61,6,9,66.7,6,6,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
4,Mateusz Klich,43.0,pl POL,"CB,CM",31-332,32,17,18,94.4,228,71,7,8,87.5,6,6,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1
5,Kalvin Phillips,23.0,eng ENG,CM,26-160,90,38,47,80.9,665,115,19,22,86.4,13,15,86.7,4,7,57.1,0,0.0,0.0,0,2,0,0,3
6,Daniel James,20.0,wls WAL,RM,24-182,23,3,7,42.9,29,21,3,4,75.0,0,3,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
7,Pascal Struijk,21.0,nl NED,"CB,LB",22-273,90,36,43,83.7,546,212,20,21,95.2,13,15,86.7,3,5,60.0,0,0.0,0.0,1,0,0,0,1
8,Liam Cooper,6.0,sct SCO,CB,30-254,90,31,38,81.6,498,114,15,17,88.2,16,18,88.9,0,3,0.0,0,0.0,0.0,0,0,0,0,1
9,Diego Llorente,14.0,es ESP,CB,28-268,90,43,49,87.8,799,302,14,16,87.5,27,28,96.4,2,5,40.0,0,0.0,0.0,0,1,0,0,3
10,Robin Koch,5.0,de GER,"RB,CB",25-298,90,29,39,74.4,482,220,18,22,81.8,9,14,64.3,2,3,66.7,0,0.0,0.0,0,1,0,0,1
11,Raphinha,10.0,br BRA,"CM,RB",25-148,77,29,40,72.5,454,143,14,15,93.3,6,12,50.0,5,7,71.4,0,0.0,0.0,0,0,1,1,2
12,Joe Gelhardt,30.0,eng ENG,FW,20-007,13,6,6,100.0,89,17,2,2,100.0,3,3,100.0,0,0,,0,0.3,0.2,1,0,1,1,0
13,Illan Meslier,1.0,fr FRA,GK,22-070,90,26,44,59.1,637,386,6,6,100.0,14,14,100.0,6,24,25.0,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,923,325,412,78.9,5259,1843,157,180,87.2,128,150,85.3,24,57,42.1,0,0.4,0.3,3,10,3,3,17
