,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Rodrigo,19.0,es ESP,FW,30-231,90,37,32,5,1,1,1,8,0,4,1,3,0,25,0,1
1,Daniel James,20.0,wls WAL,FW,23-347,90,21,20,1,0,0,0,4,0,0,0,0,0,15,0,1
2,Jack Harrison,22.0,eng ENG,LM,24-337,45,26,25,1,0,0,0,1,1,0,0,0,0,17,0,2
3,Tyler Roberts,11.0,wls WAL,LM,22-284,45,17,15,2,1,0,0,1,0,0,0,0,0,9,0,1
4,Mateusz Klich,43.0,pl POL,CM,31-132,61,30,30,0,0,1,0,0,0,0,0,0,0,21,0,0
5,Joe Gelhardt,30.0,eng ENG,CM,19-172,29,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
6,Pascal Struijk,21.0,nl NED,CM,22-073,90,41,41,0,0,0,1,0,0,0,0,0,0,36,0,0
7,Raphinha,10.0,br BRA,RM,24-313,53,36,33,3,1,0,1,3,0,2,2,0,0,24,0,2
8,Crysencio Summerville,38.0,nl NED,RM,19-358,37,20,20,0,0,0,0,1,0,0,0,0,0,15,0,0
9,Stuart Dallas,15.0,nir NIR,LB,30-187,90,61,51,9,4,0,1,3,5,0,0,0,0,53,1,1
10,Liam Cooper,6.0,sct SCO,CB,30-054,90,69,67,2,2,0,0,0,0,0,0,0,0,64,0,0
11,Diego Llorente,14.0,es ESP,CB,28-068,90,83,81,2,2,0,2,0,0,0,0,0,0,66,0,2
12,Jamie Shackleton,46.0,eng ENG,RB,22-015,90,63,54,9,1,0,0,0,8,0,0,0,0,58,0,0
13,Illan Meslier,1.0,fr FRA,GK,21-235,90,28,23,5,1,0,0,0,0,0,0,0,0,23,0,0
14,14 Players,,,,,990,535,495,39,13,2,6,21,14,6,3,3,0,429,1,10
