,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Patson Daka,29.0,zm ZAM,FW,23-196,70,6,10,60.0,74,3,3,4,75.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,1
1,Jamie Vardy,9.0,eng ENG,FW,35-102,20,0,3,0.0,0,0,0,1,0.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0
2,Ademola Lookman,37.0,ng NGA,LM,24-185,79,15,20,75.0,164,24,8,9,88.9,4,5,80.0,0,0,,0,0.0,0.0,0,1,0,0,0
3,Harvey Barnes,7.0,eng ENG,"LW,LM",24-135,11,4,4,100.0,39,15,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
4,Kiernan Dewsbury-Hall,22.0,eng ENG,"CM,DM",23-229,90,37,50,74.0,667,219,13,19,68.4,20,25,80.0,3,3,100.0,0,0.0,0.0,0,7,0,0,13
5,Youri Tielemans,8.0,be BEL,CM,24-351,85,42,48,87.5,731,210,19,21,90.5,18,21,85.7,5,6,83.3,0,0.0,0.0,0,4,0,0,7
6,Ayoze Pérez,17.0,es ESP,RW,28-268,5,4,4,100.0,65,31,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1
7,James Maddison,10.0,eng ENG,"RM,AM",25-151,90,22,46,47.8,317,71,14,16,87.5,6,14,42.9,1,13,7.7,0,0.0,0.0,1,3,1,0,3
8,Nampalys Mendy,24.0,sn SEN,DM,29-304,90,44,47,93.6,719,173,20,21,95.2,17,19,89.5,5,5,100.0,0,0.0,0.0,0,3,0,0,4
9,Timothy Castagne,27.0,be BEL,LB,26-139,90,59,66,89.4,916,268,25,27,92.6,30,32,93.8,2,4,50.0,0,0.0,0.0,0,7,0,0,6
10,Çağlar Söyüncü,4.0,tr TUR,CB,25-335,90,81,95,85.3,1559,463,20,25,80.0,55,60,91.7,5,8,62.5,0,0.0,0.0,0,2,0,0,5
11,Wesley Fofana,3.0,fr FRA,CB,21-127,90,89,95,93.7,1851,532,21,21,100.0,56,58,96.6,11,15,73.3,0,0.0,0.0,0,3,0,0,8
12,James Justin,2.0,eng ENG,RB,24-059,90,54,70,77.1,794,187,29,30,96.7,21,27,77.8,3,11,27.3,0,0.1,0.0,1,3,1,1,5
13,Kasper Schmeichel,1.0,dk DEN,GK,35-169,90,19,21,90.5,383,273,9,9,100.0,5,5,100.0,4,6,66.7,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,476,579,82.2,8279,2469,187,209,89.5,235,270,87.0,40,74,54.1,0,0.1,0.2,2,33,3,1,53
