,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Cristiano Ronaldo,7.0,pt POR,FW,37-070,90,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,40.0
1,Jadon Sancho,25.0,eng ENG,LW,22-022,90,0,0,0,0,0,1,2,2,2,0,0,0,4,0,0,
2,Anthony Elanga,36.0,se SWE,"RW,RB",19-354,90,0,0,0,0,2,0,1,0,3,0,0,0,9,2,0,100.0
3,Jesse Lingard,14.0,eng ENG,LM,29-122,62,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,
4,Nemanja Matić,31.0,rs SRB,"DM,LM",33-258,28,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,
5,Paul Pogba,6.0,fr FRA,CM,29-032,73,0,0,0,0,1,0,0,3,0,0,0,0,9,2,1,66.7
6,Juan Mata,8.0,es ESP,DM,33-353,17,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,
7,Bruno Fernandes,18.0,pt POR,"RM,AM",27-220,90,0,0,0,1,2,0,1,1,2,0,0,0,4,0,0,
8,Alex Telles,27.0,br BRA,LB,29-122,73,0,0,0,1,0,0,7,0,1,0,0,0,3,0,0,
9,Marcus Rashford,10.0,eng ENG,RW,24-167,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0
10,Victor Lindelöf,2.0,se SWE,CB,27-273,90,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0,100.0
11,Harry Maguire,5.0,eng ENG,CB,29-042,90,0,0,0,0,0,0,0,1,2,0,0,0,6,0,1,0.0
12,Diogo Dalot,20.0,pt POR,"RB,LB",23-029,90,0,0,0,1,0,1,1,0,1,0,0,0,3,0,1,0.0
13,David de Gea,1.0,es ESP,GK,31-160,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14 Players,,,,,990,0,0,0,8,6,3,13,10,11,0,0,0,56,7,8,46.7
