,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Cristiano Ronaldo,7.0,pt POR,FW,36-226,90,42,1,2,18,22,13,42,0,0,,0,,32,143,83,3,2,4,3,1,38,7
1,Paul Pogba,6.0,fr FRA,LW,28-188,72,51,1,5,32,15,2,51,9,8,88.9,1,11.1,35,176,85,2,1,0,4,2,42,1
2,Jesse Lingard,14.0,eng ENG,RW,28-278,18,16,0,1,8,7,1,16,0,0,,0,,14,99,73,2,0,0,0,0,15,3
3,Mason Greenwood,11.0,eng ENG,RW,19-353,72,46,0,2,21,23,1,46,2,2,100.0,0,0.0,29,211,110,3,4,0,2,0,37,3
4,Jadon Sancho,25.0,eng ENG,LW,21-178,18,22,0,0,9,13,0,22,0,0,,0,,15,88,62,1,2,0,0,0,21,1
5,Bruno Fernandes,18.0,pt POR,AM,27-011,90,87,0,6,34,48,3,87,2,1,50.0,1,50.0,50,161,80,3,3,1,1,3,72,9
6,Fred,17.0,br BRA,DM,28-198,87,90,3,15,57,18,0,90,1,0,0.0,1,100.0,54,196,68,0,1,0,2,0,62,0
7,Nemanja Matić,31.0,rs SRB,DM,33-049,3,8,0,1,4,3,0,8,1,1,100.0,0,0.0,5,30,22,0,1,0,0,0,7,0
8,Scott McTominay,39.0,sct SCO,DM,24-285,90,71,2,9,47,15,3,71,2,1,50.0,1,50.0,53,238,163,4,1,0,3,1,59,4
9,Luke Shaw,23.0,eng ENG,LB,26-069,90,76,2,7,27,42,1,76,0,0,,0,,45,172,83,3,2,0,2,0,49,10
10,Harry Maguire,5.0,eng ENG,CB,28-198,90,60,10,28,26,6,3,60,1,1,100.0,0,0.0,29,152,90,1,0,0,2,0,38,0
11,Raphaël Varane,19.0,fr FRA,CB,28-147,90,101,8,34,63,5,0,101,1,1,100.0,0,0.0,68,655,450,4,2,0,0,0,73,0
12,Aaron Wan-Bissaka,29.0,eng ENG,RB,23-297,90,84,5,18,40,28,2,84,5,4,80.0,1,20.0,52,200,103,3,4,1,0,2,64,9
13,David de Gea,1.0,es ESP,GK,30-316,90,27,24,27,0,0,0,27,0,0,,0,,14,106,67,0,0,0,0,0,8,0
14,14 Players,,,,,990,781,56,155,386,245,29,781,24,19,79.2,5,20.8,495,2627,1539,29,23,6,19,9,585,47
