,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Joelinton,7.0,br BRA,"FW,RM",25-112,90,33,33,0,0,0,0,0,0,0,0,0,0,21,0,1
1,Callum Wilson,9.0,eng ENG,FW,29-280,90,12,12,0,0,1,0,0,0,0,0,0,0,7,0,1
2,Allan Saint-Maximin,10.0,fr FRA,LM,24-267,89,21,20,1,0,1,0,1,1,0,0,0,0,14,0,0
3,Jacob Murphy,23.0,eng ENG,LM,26-283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Joe Willock,28.0,eng ENG,CM,22-106,90,35,35,0,0,0,1,2,0,0,0,0,0,26,0,1
5,Jonjo Shelvey,8.0,eng ENG,CM,29-280,90,55,41,14,3,0,0,12,0,10,4,5,0,38,0,1
6,Miguel Almirón,24.0,py PAR,RM,27-297,84,24,24,0,0,0,0,2,0,0,0,0,0,18,0,2
7,Federico Fernández,18.0,ar ARG,CB,32-286,6,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0
8,Jamal Lewis,12.0,nir NIR,LB,23-313,90,39,33,6,0,0,0,1,6,0,0,0,0,24,0,0
9,Jamaal Lascelles,6.0,eng ENG,CB,28-023,90,38,38,0,0,0,0,0,0,0,0,0,0,27,0,0
10,Fabian Schär,5.0,ch SUI,CB,29-349,90,32,28,4,4,0,2,1,0,0,0,0,0,13,0,1
11,Javier Manquillo,19.0,es ESP,RB,27-213,90,36,25,11,0,0,0,1,11,0,0,0,0,25,0,4
12,Martin Dúbravka,1.0,sk SVK,GK,32-323,90,34,18,16,3,0,0,0,0,0,0,0,0,17,0,0
13,13 Players,,,,,990,361,308,53,10,2,3,20,19,10,4,5,0,231,0,11
