,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Allan Saint-Maximin,10.0,fr FRA,"FW,RM",24-162,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,Callum Wilson,9.0,eng ENG,FW,29-175,90,2,2,0,2,0,0,0,,0,2,0,2,0,2,2,0
2,Miguel Almirón,24.0,py PAR,"CM,LM",27-192,90,3,2,3,0,0,0,0,,0,0,0,0,0,3,0,0
3,Isaac Hayden,14.0,eng ENG,CM,26-152,45,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,4,0
4,Sean Longstaff,36.0,eng ENG,CM,23-295,45,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
5,Joe Willock,28.0,eng ENG,CM,22-001,89,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0
6,Ryan Fraser,21.0,sct SCO,CM,27-178,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Matt Ritchie,11.0,sct SCO,LB,31-345,90,2,1,2,0,0,0,1,0.0,1,0,0,0,0,2,2,0
8,Federico Fernández,18.0,ar ARG,CB,32-181,77,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
9,Joelinton,7.0,br BRA,FW,25-007,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
10,Jamaal Lascelles,6.0,eng ENG,CB,27-283,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0
11,Fabian Schär,5.0,ch SUI,CB,29-244,90,1,0,1,0,0,0,0,,0,0,0,0,1,2,5,0
12,Jacob Murphy,23.0,eng ENG,RB,26-178,90,3,0,2,1,0,3,3,100.0,0,0,0,0,0,3,2,0
13,Freddie Woodman,27.0,eng ENG,GK,24-170,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,14,7,8,6,0,4,6,66.7,2,4,0,4,2,16,21,0
