,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Josh Sargent,24.0,us USA,FW,21-253,76,3,2,1,2,0,1,3,33.3,2,1,0,1,0,3,0,0
1,Adam Idah,35.0,ie IRL,FW,20-262,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Teemu Pukki,22.0,fi FIN,FW,31-216,90,1,1,0,1,0,1,3,33.3,2,2,0,2,0,1,0,0
3,Milot Rashica,17.0,xk KVX,"LM,CM",25-125,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
4,Kenny McLean,23.0,sct SCO,CM,29-296,90,3,1,2,1,0,0,1,0.0,1,0,0,0,0,3,1,0
5,Mathias Normann,16.0,no NOR,CM,25-156,90,3,1,3,0,0,2,3,66.7,1,3,1,2,1,4,0,0
6,Kieran Dowell,10.0,eng ENG,RM,24-021,68,2,0,1,1,0,1,3,33.3,2,1,1,0,0,2,0,0
7,Christos Tzolis,18.0,gr GRE,"RM,WB",19-274,22,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
8,Andrew Omobamidele,44.0,ie IRL,"LB,CB",19-130,90,3,3,1,2,0,3,6,50.0,3,1,1,0,2,5,2,0
9,Grant Hanley,5.0,sct SCO,CB,29-345,87,0,0,0,0,0,0,0,,0,3,2,1,0,0,2,0
10,Przemysław Płacheta,11.0,pl POL,WB,23-222,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,Ozan Kabak,15.0,tr TUR,CB,21-220,90,0,0,0,0,0,0,0,,0,2,1,1,2,2,2,0
12,Max Aarons,2.0,eng ENG,"RB,CB",21-300,90,2,0,2,0,0,1,2,50.0,1,1,0,1,0,2,0,0
13,Tim Krul,1.0,nl NED,GK,33-211,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1
14,14 Players,,,,,990,17,8,10,7,0,9,22,40.9,13,14,6,8,7,24,8,1
