,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Teemu Pukki,22.0,fi FIN,FW,31-251,90,13,18,72.2,141,11,10,11,90.9,2,5,40.0,0,0,,0,0.6,0.3,1,0,0,0,0
1,Adam Idah,35.0,ie IRL,FW,20-297,68,8,13,61.5,113,29,4,4,100.0,4,6,66.7,0,1,0.0,0,0.2,0.2,1,1,1,0,1
2,Josh Sargent,24.0,us USA,FW,21-288,22,5,6,83.3,59,1,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
3,Kenny McLean,23.0,sct SCO,CM,29-331,90,46,55,83.6,719,177,24,25,96.0,16,17,94.1,4,8,50.0,0,0.2,0.1,1,6,2,0,7
4,Billy Gilmour,8.0,sct SCO,CM,20-177,80,66,74,89.2,1337,356,31,32,96.9,21,23,91.3,14,19,73.7,0,0.0,0.1,1,4,1,0,5
5,Jakob Sørensen,19.0,dk DEN,CM,23-277,10,9,12,75.0,152,26,5,5,100.0,3,4,75.0,1,2,50.0,0,0.0,0.1,0,1,1,1,1
6,Pierre Lees-Melou,20.0,fr FRA,CM,28-194,71,30,35,85.7,400,58,17,20,85.0,10,10,100.0,1,2,50.0,0,0.1,0.0,1,1,1,1,2
7,Kieran Dowell,10.0,eng ENG,CM,24-056,19,8,11,72.7,100,14,5,7,71.4,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1
8,Brandon Williams,21.0,eng ENG,LB,21-093,90,69,79,87.3,1249,294,25,30,83.3,37,39,94.9,7,9,77.8,0,0.2,0.1,3,5,1,1,6
9,Ben Gibson,4.0,eng ENG,CB,28-324,90,95,108,88.0,1773,664,32,33,97.0,58,60,96.7,5,15,33.3,0,0.1,0.1,1,3,0,0,2
10,Grant Hanley,5.0,sct SCO,CB,30-015,90,99,106,93.4,2034,512,25,30,83.3,64,64,100.0,10,12,83.3,0,0.0,0.2,0,0,1,0,2
11,Andrew Omobamidele,44.0,ie IRL,CB,19-165,90,92,99,92.9,1608,381,38,38,100.0,40,42,95.2,11,15,73.3,0,0.0,0.0,0,4,0,0,6
12,Max Aarons,2.0,eng ENG,RB,21-335,90,44,57,77.2,659,173,27,28,96.4,15,23,65.2,2,3,66.7,0,0.0,0.0,0,2,1,0,6
13,Tim Krul,1.0,nl NED,GK,33-246,90,35,41,85.4,853,420,6,6,100.0,19,19,100.0,10,16,62.5,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,619,714,86.7,11197,3116,253,273,92.7,292,315,92.7,65,103,63.1,0,1.3,1.2,9,27,9,3,39
