,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Teemu Pukki,22.0,fi FIN,FW,31-257,90,25,0,1,11,14,7,25,0,0,,0,,17,73,29,2,1,1,3,0,21,7
1,Josh Sargent,24.0,us USA,LW,21-294,90,34,3,11,10,14,3,34,2,0,0.0,2,100.0,20,150,90,3,2,0,3,2,20,5
2,Przemysław Płacheta,11.0,pl POL,RW,23-263,69,29,1,7,9,13,1,29,1,1,100.0,0,0.0,15,114,14,0,0,0,0,2,21,5
3,Todd Cantwell,14.0,eng ENG,RW,23-287,21,8,0,1,2,5,0,8,2,1,50.0,1,50.0,6,29,0,0,0,0,0,0,7,2
4,Kenny McLean,23.0,sct SCO,LM,29-337,90,54,3,9,35,11,2,54,0,0,,0,,26,115,52,2,2,0,1,1,33,3
5,Billy Gilmour,8.0,sct SCO,CM,20-183,90,91,3,21,56,14,1,91,1,0,0.0,1,100.0,55,179,79,0,0,0,1,1,59,0
6,Lukas Rupp,7.0,de GER,RM,30-337,75,41,3,8,21,12,3,41,1,1,100.0,0,0.0,26,108,33,0,0,0,0,5,27,4
7,Pierre Lees-Melou,20.0,fr FRA,RM,28-200,15,17,1,1,8,8,1,17,0,0,,0,,12,45,4,0,0,0,0,1,10,0
8,Dimitris Giannoulis,30.0,gr GRE,LB,26-055,90,72,3,18,45,11,0,72,3,3,100.0,0,0.0,47,216,168,4,2,0,3,1,40,3
9,Ozan Kabak,15.0,tr TUR,CB,21-261,90,55,9,33,19,3,3,55,0,0,,0,,35,130,60,1,0,0,2,0,39,0
10,Grant Hanley,5.0,sct SCO,CB,30-021,20,11,1,10,1,0,0,11,0,0,,0,,8,34,2,0,0,0,0,0,7,0
11,Jakob Sørensen,19.0,dk DEN,CB,23-283,70,52,7,29,23,1,1,52,0,0,,0,,33,156,106,0,0,0,1,0,29,0
12,Max Aarons,2.0,eng ENG,RB,21-341,90,73,5,26,35,13,0,73,4,2,50.0,2,50.0,42,218,125,4,2,0,2,2,41,5
13,Tim Krul,1.0,nl NED,GK,33-252,90,43,37,42,1,0,0,43,0,0,,0,,23,113,66,0,0,0,0,0,21,0
14,14 Players,,,,,990,605,76,217,276,119,22,605,14,8,57.1,6,42.9,365,1680,828,16,9,1,16,15,375,34
