,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Teemu Pukki,22.0,fi FIN,FW,31-208,90,22,14,8,0,1,0,0,0,0,0,0,0,18,0,0
1,Josh Sargent,24.0,us USA,"FW,AM",21-245,68,15,15,0,0,0,0,0,0,0,0,0,0,10,0,2
2,Andrew Omobamidele,44.0,ie IRL,"CB,AM",19-122,22,10,9,1,1,0,0,0,0,0,0,0,0,7,0,1
3,Kenny McLean,23.0,sct SCO,CM,29-288,90,41,41,0,0,0,0,0,0,0,0,0,0,37,0,0
4,Mathias Normann,16.0,no NOR,CM,25-148,90,38,35,3,2,1,0,0,1,0,0,0,0,27,0,0
5,Pierre Lees-Melou,20.0,fr FRA,CM,28-151,45,22,21,1,1,0,0,1,0,0,0,0,0,18,0,1
6,Milot Rashica,17.0,xk KVX,"AM,FW",25-117,45,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0
7,Dimitris Giannoulis,30.0,gr GRE,WB,26-006,45,19,16,3,0,0,0,1,3,0,0,0,0,14,0,3
8,Brandon Williams,21.0,eng ENG,WB,21-050,45,16,14,2,0,0,0,0,2,0,0,0,0,14,0,0
9,Max Aarons,2.0,eng ENG,WB,21-292,90,34,25,9,0,0,1,0,9,0,0,0,0,25,0,2
10,Ben Gibson,4.0,eng ENG,CB,28-281,64,43,41,2,2,0,0,0,0,0,0,0,0,35,0,1
11,Grant Hanley,5.0,sct SCO,CB,29-337,90,41,37,4,4,0,0,0,0,0,0,0,0,37,0,1
12,Ozan Kabak,15.0,tr TUR,CB,21-212,90,47,46,1,1,0,1,0,0,0,0,0,0,39,0,1
13,Tim Krul,1.0,nl NED,GK,33-203,90,52,38,14,4,0,0,0,0,0,0,0,0,40,0,0
14,14 Players,,,,,964,409,361,48,15,2,2,2,15,0,0,0,0,326,0,12
