,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Adam Armstrong,9.0,eng ENG,FW,24-220,90,0,0,0,1,0,0,1,0,0,0,0,0,4,1,2,33.3
1,Che Adams,10.0,sct SCO,"FW,CM",25-067,67,0,0,0,1,1,0,0,0,1,0,0,0,3,2,8,20.0
2,Armando Broja,18.0,al ALB,FW,20-008,23,0,0,0,0,1,0,1,0,0,0,0,0,0,4,4,50.0
3,Nathan Redmond,11.0,eng ENG,LM,27-196,90,0,0,0,0,0,0,0,0,3,0,0,0,6,1,1,50.0
4,James Ward-Prowse,8.0,eng ENG,CM,26-321,90,0,0,0,1,2,0,6,0,0,0,0,0,6,1,2,33.3
5,Oriol Romeu,6.0,es ESP,"CM,DM",29-359,90,0,0,0,0,0,0,1,2,2,0,0,0,7,1,0,100.0
6,Mohamed Elyounoussi,24.0,no NOR,RM,27-045,90,0,0,0,2,0,0,1,2,1,0,0,0,5,0,2,0.0
7,Kyle Walker-Peters,2.0,eng ENG,"LB,RB",24-158,90,1,0,0,1,1,0,1,2,1,0,0,0,6,1,0,100.0
8,Jan Bednarek,35.0,pl POL,CB,25-159,90,0,0,0,0,0,0,0,4,1,0,0,0,3,3,1,75.0
9,Jack Stephens,5.0,eng ENG,CB,27-234,36,0,0,0,3,0,0,0,2,0,0,0,0,3,0,0,
10,Mohammed Salisu,22.0,gh GHA,CB,22-154,54,0,0,0,2,0,0,0,2,0,0,0,0,2,1,2,33.3
11,Valentino Livramento,21.0,eng ENG,RB,18-310,85,1,0,0,1,0,0,2,3,2,0,0,0,6,0,0,
12,Romain Perraud,15.0,fr FRA,LB,23-361,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
13,Alex McCarthy,1.0,eng ENG,GK,31-289,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,2,0,0,12,5,0,13,17,11,0,0,0,54,15,22,40.5
