,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Nathan Redmond,11.0,eng ENG,FW,27-231,88,22,38,57.9,349,142,10,14,71.4,6,9,66.7,3,8,37.5,1,0.4,0.2,3,2,5,2,5
1,Adam Armstrong,9.0,eng ENG,FW,24-255,2,2,2,100.0,20,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,Armando Broja,18.0,al ALB,FW,20-043,78,8,13,61.5,88,30,6,11,54.5,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
3,Che Adams,10.0,sct SCO,FW,25-102,12,6,6,100.0,61,0,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
4,Mohamed Elyounoussi,24.0,no NOR,LM,27-080,90,21,32,65.6,287,79,14,17,82.4,6,9,66.7,0,2,0.0,0,0.0,0.0,1,5,0,0,4
5,Ibrahima Diallo,27.0,fr FRA,CM,22-229,90,40,48,83.3,671,201,17,19,89.5,17,19,89.5,3,4,75.0,1,0.1,0.0,1,4,0,0,9
6,Oriol Romeu,6.0,es ESP,CM,30-029,90,55,65,84.6,993,316,21,26,80.8,27,28,96.4,5,9,55.6,0,0.1,0.1,2,4,3,1,8
7,Theo Walcott,32.0,eng ENG,RM,32-221,73,10,17,58.8,126,26,6,7,85.7,4,7,57.1,0,0,,0,0.0,0.0,0,0,1,0,2
8,Stuart Armstrong,17.0,sct SCO,RM,29-207,17,10,15,66.7,128,1,5,6,83.3,3,5,60.0,0,0,,0,0.1,0.0,2,0,0,0,1
9,Romain Perraud,15.0,fr FRA,LB,24-031,90,25,38,65.8,261,79,19,24,79.2,4,8,50.0,0,1,0.0,0,0.1,0.0,1,0,1,0,4
10,Mohammed Salisu,22.0,gh GHA,CB,22-189,90,53,75,70.7,804,339,26,29,89.7,21,29,72.4,2,10,20.0,0,0.0,0.0,0,6,0,0,8
11,Jan Bednarek,35.0,pl POL,CB,25-194,90,45,56,80.4,720,232,17,19,89.5,23,29,79.3,1,2,50.0,0,0.0,0.0,0,2,0,0,2
12,Valentino Livramento,21.0,eng ENG,RB,18-345,90,58,78,74.4,744,299,33,36,91.7,18,29,62.1,1,5,20.0,0,0.2,0.2,3,2,3,2,4
13,Alex McCarthy,1.0,eng ENG,GK,31-324,90,26,34,76.5,638,397,5,5,100.0,15,15,100.0,6,14,42.9,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,381,517,73.7,5890,2141,185,219,84.5,146,189,77.2,21,55,38.2,2,0.9,0.6,13,26,13,5,48
