,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Harry Kane,10.0,eng ENG,FW,28-222,90,0,0,0,1,1,0,2,0,1,0,0,0,4,2,0,100.0
1,Son Heung-min,7.0,kr KOR,AM,29-242,66,1,0,0,2,1,0,4,0,2,0,0,0,4,0,0,
2,Steven Bergwijn,23.0,nl NED,AM,24-150,24,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
3,Dejan Kulusevski,21.0,se SWE,AM,21-316,90,0,0,0,3,0,0,2,1,0,0,0,0,8,0,0,
4,Pierre Højbjerg,5.0,dk DEN,CM,26-214,90,0,0,0,0,3,0,0,2,1,0,0,0,6,1,0,100.0
5,Rodrigo Bentancur,30.0,uy URU,CM,24-255,90,0,0,0,3,1,0,0,0,1,0,0,0,9,0,1,0.0
6,Ryan Sessegnon,19.0,eng ENG,WB,21-293,45,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,100.0
7,Sergio Reguilón,3.0,es ESP,WB,25-081,45,0,0,0,1,1,0,2,0,1,0,0,0,1,1,1,50.0
8,Matt Doherty,2.0,ie IRL,WB,30-050,90,0,0,0,0,1,0,3,2,2,0,0,0,4,1,0,100.0
9,Ben Davies,33.0,wls WAL,CB,28-317,90,0,0,0,1,0,0,0,1,1,0,0,0,4,3,1,75.0
10,Eric Dier,15.0,eng ENG,CB,28-051,90,0,0,0,1,1,0,0,0,1,0,0,0,6,2,0,100.0
11,Cristian Romero,4.0,ar ARG,CB,23-314,51,1,0,0,2,0,0,0,0,0,0,0,0,5,1,0,100.0
12,Davinson Sánchez,6.0,co COL,CB,25-268,39,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,100.0
13,Hugo Lloris,1.0,fr FRA,GK,35-071,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
14,14 Players,,,,,990,2,0,0,15,9,0,14,6,13,0,0,0,56,15,3,83.3
