,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Harry Kane,10.0,eng ENG,FW,28-255,90,32,2,6,17,10,3,32,5,3,60.0,2,40.0,21,180,69,2,1,1,1,5,22,2
1,Son Heung-min,7.0,kr KOR,LW,29-275,77,24,0,8,7,10,3,24,1,1,100.0,0,0.0,12,86,27,1,1,1,3,0,13,3
2,Lucas Moura,27.0,br BRA,"RW,LW",29-239,13,9,0,3,5,2,1,9,0,0,,0,,5,34,18,0,0,0,1,0,7,1
3,Dejan Kulusevski,21.0,se SWE,RW,21-349,83,22,1,5,10,9,4,22,1,0,0.0,1,100.0,12,153,124,6,2,4,0,0,16,4
4,Steven Bergwijn,23.0,nl NED,LW,24-183,7,6,0,1,2,3,1,6,0,0,,0,,5,26,14,0,0,0,0,0,6,3
5,Matt Doherty,2.0,ie IRL,LM,30-083,20,7,1,2,3,2,1,7,0,0,,0,,5,53,38,2,0,1,0,1,8,1
6,Sergio Reguilón,3.0,es ESP,LM,25-114,70,35,3,15,14,6,1,35,0,0,,0,,21,91,50,2,2,1,0,0,26,4
7,Pierre Højbjerg,5.0,dk DEN,CM,26-247,90,91,4,42,44,8,0,91,3,2,66.7,1,33.3,41,208,76,0,0,0,2,0,63,0
8,Rodrigo Bentancur,30.0,uy URU,CM,24-288,90,64,5,17,44,5,0,64,2,0,0.0,2,100.0,33,127,68,1,3,0,1,1,50,0
9,Emerson,12.0,br BRA,RM,23-085,90,67,4,23,30,15,0,67,2,1,50.0,1,50.0,29,281,171,4,4,0,0,0,42,5
10,Ben Davies,33.0,wls WAL,CB,28-350,90,46,3,25,19,2,1,46,2,1,50.0,1,50.0,33,262,185,0,0,0,0,0,40,1
11,Eric Dier,15.0,eng ENG,CB,28-084,90,82,23,63,19,0,0,82,0,0,,0,,50,264,110,0,0,0,0,0,66,0
12,Cristian Romero,4.0,ar ARG,CB,23-347,90,83,21,62,22,0,0,83,1,1,100.0,0,0.0,46,209,118,0,0,0,1,0,55,0
13,Hugo Lloris,1.0,fr FRA,GK,35-104,90,34,33,34,0,0,0,34,0,0,,0,,18,130,66,0,0,0,0,0,8,0
14,14 Players,,,,,990,602,100,306,236,72,15,602,17,9,52.9,8,47.1,331,2104,1134,18,13,8,9,7,422,24
