,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Emmanuel Dennis,25.0,ng NGA,"FW,RW,RM",24-043,90,37,0,4,9,25,7,37,3,1,33.3,2,66.7,26,182,82,3,2,3,5,4,27,12
1,Joshua King,7.0,no NOR,"FW,LM",29-347,90,42,0,4,14,25,4,42,5,3,60.0,2,40.0,20,184,124,5,3,2,4,1,25,10
2,Ozan Tufan,18.0,tr TUR,CM,26-280,61,20,1,6,11,3,1,20,1,1,100.0,0,0.0,9,30,4,0,0,0,0,0,12,1
3,Ken Sema,12.0,se SWE,LW,28-089,29,9,0,1,7,1,0,9,1,0,0.0,1,100.0,6,27,13,1,0,0,1,1,5,2
4,Juraj Kucka,33.0,sk SVK,"RB,CM",34-305,90,73,4,21,38,17,3,73,1,1,100.0,0,0.0,19,77,43,0,1,0,2,0,23,1
5,Cucho,29.0,co COL,RM,22-252,45,27,1,4,7,16,0,27,0,0,,0,,12,81,51,1,1,0,1,0,17,2
6,João Pedro,10.0,br BRA,"AM,LM",20-093,45,20,1,1,10,12,2,20,4,4,100.0,0,0.0,14,124,107,4,2,1,3,0,13,2
7,Moussa Sissoko,19.0,fr FRA,"DM,CM",32-134,90,45,7,16,22,8,1,45,2,1,50.0,1,50.0,19,104,77,3,3,0,1,2,15,2
8,Adam Masina,11.0,ma MAR,LB,27-360,90,42,1,21,15,7,1,42,0,0,,0,,13,59,44,1,0,0,1,0,19,1
9,Craig Cathcart,15.0,nir NIR,CB,32-325,90,36,6,19,16,1,0,36,0,0,,0,,13,83,55,1,1,0,0,0,17,0
10,Francisco Sierralta,31.0,cl CHI,CB,24-236,90,53,11,29,22,2,2,53,0,0,,0,,15,109,60,0,0,0,0,0,19,0
11,Kiko Femenía,21.0,es ESP,RB,30-329,39,28,2,10,15,3,0,28,0,0,,0,,8,34,5,0,0,0,3,0,11,0
12,Imran Louza,6.0,ma MAR,DM,22-241,51,43,2,9,26,9,1,43,1,0,0.0,1,100.0,17,103,47,1,0,0,0,0,21,1
13,Daniel Bachmann,26.0,at AUT,GK,27-172,90,26,17,26,0,0,0,26,0,0,,0,,13,97,71,0,0,0,0,0,8,0
14,14 Players,,,,,990,501,53,171,212,129,22,501,18,11,61.1,7,38.9,204,1294,783,20,13,6,21,8,232,34
