,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Emmanuel Dennis,25.0,ng NGA,FW,24-111,90,21,19,2,0,0,0,2,0,0,0,0,0,10,0,2
1,João Pedro,10.0,br BRA,LW,20-161,90,32,31,0,0,0,1,0,0,0,0,0,0,24,1,0
2,Cucho,29.0,co COL,RW,22-320,90,31,31,0,0,0,0,1,0,0,0,0,0,17,0,5
3,Tom Cleverley,8.0,eng ENG,LM,32-206,88,46,38,7,2,0,0,1,3,0,0,0,0,36,1,0
4,Samuel Kalu,28.0,ng NGA,LM,24-192,2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
5,Imran Louza,6.0,ma MAR,CM,22-309,63,35,32,3,1,0,1,1,2,0,0,0,0,29,0,0
6,Edo Kayembe,39.0,cd COD,CM,23-276,27,22,22,0,0,0,0,0,0,0,0,0,0,18,0,2
7,Moussa Sissoko,19.0,fr FRA,RM,32-202,90,35,34,1,1,0,1,0,0,0,0,0,0,30,0,0
8,Hassane Kamara,14.0,ci CIV,LB,28-001,90,77,62,15,0,0,0,1,15,0,0,0,0,58,0,3
9,Samir Santos,22.0,br BRA,CB,27-091,90,40,40,0,0,0,0,0,0,0,0,0,0,37,0,0
10,Craig Cathcart,15.0,nir NIR,CB,33-028,90,41,41,0,0,0,0,0,0,0,0,0,0,35,0,0
11,Kiko Femenía,21.0,es ESP,RB,31-032,90,56,39,17,0,0,0,4,16,1,1,0,0,45,0,0
12,Ben Foster,1.0,eng ENG,GK,38-337,90,39,24,15,6,0,0,0,0,0,0,0,0,24,0,0
13,13 Players,,,,,990,478,416,60,10,0,3,10,36,1,1,0,0,365,2,12
