,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,João Pedro,10.0,br BRA,FW,20-216,90,0,0,0,1,2,1,3,2,2,0,0,0,7,2,4,33.3
1,Emmanuel Dennis,25.0,ng NGA,LW,24-166,90,0,0,0,3,1,0,2,0,1,0,0,0,3,0,2,0.0
2,Ismaila Sarr,23.0,sn SEN,RW,24-064,90,0,0,0,0,2,0,5,0,0,0,0,0,3,0,2,0.0
3,Juraj Kucka,33.0,sk SVK,LM,35-063,90,1,0,0,3,0,0,0,0,1,0,0,0,7,1,5,16.7
4,Imran Louza,6.0,ma MAR,CM,22-364,90,0,0,0,1,1,0,8,2,2,0,0,0,11,0,1,0.0
5,Moussa Sissoko,19.0,fr FRA,RM,32-257,90,0,0,0,2,1,0,1,0,2,0,0,0,10,4,1,80.0
6,Hassane Kamara,14.0,ci CIV,LB,28-056,90,0,0,0,1,1,0,2,2,0,0,0,0,6,3,1,75.0
7,Samir Santos,22.0,br BRA,CB,27-146,90,0,0,0,0,1,0,0,1,0,0,0,0,6,7,3,70.0
8,Christian Kabasele,27.0,be BEL,CB,31-065,90,0,0,0,2,0,0,0,0,0,0,0,0,8,11,1,91.7
9,Kiko Femenía,21.0,es ESP,RB,31-087,90,0,0,0,0,0,0,5,1,0,0,0,0,6,0,2,0.0
10,Ben Foster,1.0,eng ENG,GK,39-027,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7
11,11 Players,,,,,990,1,0,0,13,9,1,26,8,8,0,0,0,68,30,23,56.6
