,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,João Pedro,10.0,br BRA,FW,20-238,90,2,2,1,1,0,1,3,33.3,2,1,0,1,0,2,0,0
1,Ken Sema,12.0,se SWE,LW,28-234,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
2,Joshua King,7.0,no NOR,RW,30-127,71,2,1,1,1,0,0,0,,0,0,0,0,1,3,2,0
3,Cucho,29.0,co COL,RW,23-032,19,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
4,Tom Cleverley,8.0,eng ENG,LM,32-283,90,5,4,3,2,0,2,3,66.7,1,0,0,0,2,7,1,0
5,Edo Kayembe,39.0,cd COD,CM,23-353,81,2,0,2,0,0,0,2,0.0,2,0,0,0,1,3,0,0
6,Dan Gosling,16.0,eng ENG,CM,32-110,9,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
7,Moussa Sissoko,19.0,fr FRA,RM,32-279,90,4,2,2,2,0,2,2,100.0,0,1,0,1,0,4,1,0
8,Hassane Kamara,14.0,ci CIV,LB,28-078,77,2,1,2,0,0,1,1,100.0,0,0,0,0,7,9,5,0
9,Adam Masina,11.0,ma MAR,LB,28-140,13,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
10,Samir Santos,22.0,br BRA,CB,27-168,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
11,Christian Kabasele,27.0,be BEL,CB,31-087,90,5,1,5,0,0,3,3,100.0,0,4,3,1,0,5,2,0
12,Kiko Femenía,21.0,es ESP,RB,31-109,90,0,0,0,0,0,0,1,0.0,1,1,1,0,3,3,1,0
13,Daniel Bachmann,26.0,at AUT,GK,27-317,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,25,13,18,7,0,11,17,64.7,6,9,4,5,14,39,17,0
