,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Ismaila Sarr,23.0,sn SEN,"FW,LW",23-233,90,15,19,78.9,286,27,5,8,62.5,6,6,100.0,2,2,100.0,0,0.0,0.6,0,1,1,0,1
1,Cucho,29.0,co COL,"LM,FW",22-179,90,11,18,61.1,143,55,8,12,66.7,3,4,75.0,0,1,0.0,0,0.0,0.0,1,1,0,0,2
2,Moussa Sissoko,19.0,fr FRA,"CM,DM",32-061,90,23,34,67.6,339,136,11,14,78.6,10,16,62.5,1,2,50.0,0,0.1,0.0,2,0,1,0,4
3,Juraj Kucka,33.0,sk SVK,"CM,DM",34-232,90,15,20,75.0,208,38,11,12,91.7,3,4,75.0,1,3,33.3,0,0.0,0.0,0,0,0,0,1
4,Emmanuel Dennis,25.0,ng NGA,"RM,RW",23-335,68,9,14,64.3,97,28,7,10,70.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,2
5,João Pedro,10.0,br BRA,RW,20-020,22,4,7,57.1,40,5,4,4,100.0,0,0,,0,0,,0,0.1,0.1,1,0,0,0,0
6,Adam Masina,11.0,ma MAR,LB,27-287,45,5,8,62.5,60,47,4,4,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0
7,Tom Cleverley,8.0,eng ENG,"AM,LB",32-065,45,12,15,80.0,116,16,10,10,100.0,1,1,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0
8,Danny Rose,3.0,eng ENG,"CB,LB",31-106,90,20,31,64.5,446,300,6,7,85.7,9,12,75.0,4,8,50.0,0,0.0,0.0,0,3,0,0,2
9,William Troost-Ekong,5.0,ng NGA,CB,28-045,90,25,36,69.4,530,214,9,10,90.0,11,12,91.7,5,10,50.0,0,0.0,0.0,0,1,0,0,1
10,Craig Cathcart,15.0,nir NIR,CB,32-252,90,12,22,54.5,258,128,3,4,75.0,8,10,80.0,1,6,16.7,0,0.0,0.0,0,0,0,0,0
11,Kiko Femenía,21.0,es ESP,RB,30-256,55,5,10,50.0,63,30,3,5,60.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,0
12,Jeremy Ngakia,2.0,eng ENG,RB,21-039,35,10,18,55.6,176,107,4,5,80.0,6,8,75.0,0,3,0.0,0,0.2,0.1,1,1,1,1,1
13,Ben Foster,1.0,eng ENG,GK,38-196,90,10,29,34.5,412,376,1,1,100.0,2,3,66.7,7,25,28.0,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,176,281,62.6,3174,1507,86,106,81.1,62,83,74.7,21,65,32.3,0,0.4,0.9,5,8,3,1,14
