,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Raúl Jiménez,9.0,mx MEX,FW,31-006,71,22,0,1,15,6,2,22,5,2,40.0,3,60.0,16,83,37,1,1,1,1,5,16,1
1,Hwang Hee-chan,26.0,kr KOR,FW,26-105,19,6,0,0,5,1,1,6,1,0,0.0,1,100.0,2,3,0,0,0,0,2,0,3,1
2,Pedro Neto,7.0,pt POR,FW,22-063,71,45,0,2,27,16,2,45,3,1,33.3,2,66.7,30,182,66,2,0,2,2,1,33,9
3,Francisco Trincão,11.0,pt POR,FW,22-133,19,4,0,1,2,1,0,4,0,0,,0,,3,27,16,1,1,0,0,0,2,1
4,João Moutinho,28.0,pt POR,CM,35-245,84,35,0,8,20,7,0,35,0,0,,0,,22,59,18,0,0,0,1,0,24,0
5,Luke Cundle,39.0,eng ENG,CM,20-015,6,1,0,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,0,0,1,0
6,Rúben Neves,8.0,pt POR,CM,25-059,90,57,4,19,35,4,1,57,1,1,100.0,0,0.0,39,131,67,0,0,0,0,0,39,0
7,Leander Dendoncker,32.0,be BEL,CM,27-026,90,29,1,4,19,6,2,29,0,0,,0,,14,20,2,0,1,0,1,1,17,2
8,Rayan Aït Nouri,3.0,dz ALG,WB,20-339,90,57,2,28,21,8,0,57,4,2,50.0,2,50.0,30,188,108,3,2,0,2,1,34,1
9,Chiquinho,20.0,pt POR,WB,22-095,90,43,1,6,28,11,5,43,5,3,60.0,2,40.0,35,205,86,5,1,3,0,3,31,6
10,Willy Boly,15.0,ci CIV,CB,31-097,90,54,13,49,5,0,0,54,0,0,,0,,41,171,72,0,0,0,1,0,40,0
11,Conor Coady,16.0,eng ENG,CB,29-075,90,58,14,51,7,0,0,58,0,0,,0,,44,184,47,0,1,0,0,0,46,0
12,Jonny Castro,19.0,es ESP,CB,28-069,90,48,6,34,14,2,0,48,1,1,100.0,0,0.0,34,162,68,1,1,0,0,1,32,0
13,José Sá,1.0,pt POR,GK,29-114,90,44,43,44,0,0,0,44,0,0,,0,,31,146,90,0,0,0,0,0,22,0
14,14 Players,,,,,990,503,84,248,198,62,13,503,20,10,50.0,10,50.0,342,1561,677,13,8,6,10,12,340,21
