,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Fábio Silva,17.0,pt POR,FW,19-279,66,7,13,53.8,60,0,3,5,60.0,1,4,25.0,0,0,,0,0.0,0.1,0,0,0,0,0
1,Pedro Neto,7.0,pt POR,"LW,FW",22-046,24,14,16,87.5,187,15,4,4,100.0,7,7,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
2,Hwang Hee-chan,26.0,kr KOR,AM,26-088,90,36,43,83.7,514,113,19,20,95.0,13,14,92.9,1,1,100.0,0,0.1,0.1,3,2,3,0,8
3,Raúl Jiménez,9.0,mx MEX,"AM,FW",30-354,90,25,35,71.4,422,113,15,19,78.9,3,8,37.5,4,4,100.0,0,0.2,0.2,2,3,4,0,5
4,João Moutinho,28.0,pt POR,"CM,DM",35-228,90,73,88,83.0,1471,391,21,23,91.3,33,36,91.7,14,21,66.7,0,0.0,0.1,0,8,1,0,6
5,Leander Dendoncker,32.0,be BEL,"CM,DM",27-009,90,48,49,98.0,883,99,16,16,100.0,27,27,100.0,2,2,100.0,0,0.0,0.0,0,4,0,0,5
6,Jonny Castro,19.0,es ESP,"WB,LB",28-052,90,52,65,80.0,761,188,29,34,85.3,15,18,83.3,4,5,80.0,0,0.2,0.1,1,3,1,1,4
7,Nélson Semedo,22.0,pt POR,"WB,RB",28-159,90,54,66,81.8,698,193,35,40,87.5,12,14,85.7,3,4,75.0,0,0.1,0.1,2,4,2,0,5
8,Romain Saïss,27.0,ma MAR,CB,32-029,78,61,76,80.3,995,435,28,31,90.3,27,31,87.1,3,10,30.0,0,0.0,0.0,0,4,0,0,6
9,Francisco Trincão,11.0,pt POR,RW,22-116,12,4,6,66.7,52,7,2,2,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
10,Conor Coady,16.0,eng ENG,CB,29-058,90,67,74,90.5,1472,502,8,9,88.9,53,54,98.1,5,9,55.6,0,0.0,0.0,0,4,1,0,2
11,Willy Boly,15.0,ci CIV,CB,31-080,90,57,72,79.2,1057,334,21,25,84.0,30,36,83.3,4,8,50.0,0,0.0,0.0,0,1,0,0,2
12,José Sá,1.0,pt POR,GK,29-097,90,24,36,66.7,642,448,3,3,100.0,16,17,94.1,5,16,31.3,0,0.0,0.0,0,0,0,0,0
13,13 Players,,,,,990,522,639,81.7,9214,2838,204,231,88.3,238,268,88.8,45,82,54.9,0,0.5,0.6,8,33,12,1,43
