,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Gabriel Jesus,9.0,br BRA,FW,26-034,86,14,20,70.0,207,49,9,11,81.8,5,8,62.5,0,1,0.0,0,0.1,0.1,1,0,2,0,4
1,Eddie Nketiah,14.0,eng ENG,FW,23-342,4,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,Gabriel Martinelli,11.0,br BRA,LW,21-323,79,12,16,75.0,184,7,5,7,71.4,7,8,87.5,0,0,,0,0.5,0.1,2,0,0,0,0
3,Leandro Trossard,19.0,be BEL,LW,28-154,11,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
4,Bukayo Saka,7.0,eng ENG,RW,21-244,86,17,23,73.9,235,57,12,14,85.7,4,4,100.0,1,4,25.0,0,0.0,0.0,1,0,3,0,4
5,Reiss Nelson,24.0,eng ENG,RW,23-148,4,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
6,Granit Xhaka,34.0,ch SUI,LM,30-222,90,28,34,82.4,471,233,15,19,78.9,9,10,90.0,4,4,100.0,0,0.3,0.2,1,4,0,0,3
7,Jorginho,20.0,it ITA,CM,31-138,90,44,53,83.0,700,157,20,23,87.0,24,26,92.3,0,3,0.0,1,0.1,0.0,2,3,1,0,3
8,Martin Ødegaard,8.0,no NOR,RM,24-141,79,22,31,71.0,358,89,12,15,80.0,8,11,72.7,1,3,33.3,0,0.3,0.2,2,2,1,0,4
9,Thomas Partey,5.0,gh GHA,RM,29-328,11,2,3,66.7,19,5,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
10,Oleksandr Zinchenko,35.0,ua UKR,LB,26-143,60,38,44,86.4,574,231,18,18,100.0,18,22,81.8,0,1,0.0,0,0.0,0.0,0,4,0,0,4
11,Kieran Tierney,3.0,sct SCO,LB,25-336,30,6,9,66.7,116,77,4,5,80.0,0,2,0.0,2,2,100.0,0,0.0,0.0,0,0,1,0,1
12,Gabriel Dos Santos,6.0,br BRA,CB,25-139,90,34,39,87.2,555,308,19,19,100.0,14,16,87.5,1,3,33.3,0,0.0,0.0,0,0,0,0,0
13,Jakub Kiwior,15.0,pl POL,CB,23-081,90,25,29,86.2,446,128,7,7,100.0,17,17,100.0,1,4,25.0,0,0.0,0.0,0,0,0,0,0
14,Ben White,4.0,eng ENG,RB,25-211,90,31,38,81.6,457,228,15,15,100.0,16,20,80.0,0,3,0.0,0,0.0,0.0,0,1,0,0,4
15,Aaron Ramsdale,1.0,eng ENG,GK,24-358,90,18,34,52.9,532,424,5,5,100.0,7,7,100.0,6,22,27.3,0,0.0,0.0,0,1,0,0,0
16,16 Players,,,,,990,291,374,77.8,4854,1993,143,162,88.3,129,151,85.4,16,50,32.0,1,1.2,0.6,9,15,8,0,27
