,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Danny Ings,9.0,eng ENG,FW,30-113,82,29,2,6,15,10,6,28,4,1,25.0,3,75.0,20,72,31,3,0,2,2,1,20,4
1,Cameron Archer,35.0,eng ENG,FW,21-115,8,2,0,0,2,0,0,2,0,0,,0,,2,4,0,0,0,0,1,0,2,0
2,Emi Buendía,10.0,ar ARG,FW,25-323,73,30,0,3,20,7,2,30,2,1,50.0,1,50.0,19,82,15,1,0,0,3,1,21,4
3,Leon Bailey,31.0,jm JAM,RM,25-096,17,12,0,4,3,5,1,12,0,0,,0,,7,38,25,1,0,1,2,1,6,2
4,Jacob Ramsey,41.0,eng ENG,LM,21-169,68,20,1,4,8,8,1,20,0,0,,0,,13,107,72,4,3,0,2,0,15,1
5,Ashley Young,18.0,eng ENG,"RB,LM",37-127,22,10,2,3,5,2,1,10,0,0,,0,,6,20,4,0,0,0,0,0,2,0
6,Douglas Luiz,6.0,br BRA,CM,24-188,82,32,1,8,17,7,0,32,1,1,100.0,0,0.0,20,110,49,2,0,0,2,0,17,1
7,Leander Dendoncker,32.0,be BEL,CM,27-212,8,4,2,3,1,0,0,4,0,0,,0,,2,11,9,0,0,0,0,0,2,0
8,Boubacar Kamara,44.0,fr FRA,CM,22-355,90,46,6,20,23,4,0,46,1,1,100.0,0,0.0,17,35,14,0,0,0,2,0,15,0
9,John McGinn,7.0,sct SCO,"RM,LM",28-026,90,41,0,14,23,4,1,41,3,1,33.3,1,33.3,31,114,30,0,1,0,3,5,25,2
10,Lucas Digne,27.0,fr FRA,LB,29-116,81,38,3,28,7,4,1,38,0,0,,0,,22,76,36,0,0,0,0,1,15,0
11,Ludwig Augustinsson,17.0,se SWE,LB,28-206,9,6,1,4,2,0,0,6,0,0,,0,,2,4,1,0,0,0,0,0,0,0
12,Tyrone Mings,5.0,eng ENG,CB,29-245,90,40,15,30,9,1,0,40,0,0,,0,,21,158,43,0,0,0,1,0,19,0
13,Ezri Konsa,4.0,eng ENG,CB,25-021,90,48,11,35,12,1,0,48,0,0,,0,,35,88,42,0,0,0,0,0,35,0
14,Matty Cash,2.0,pl POL,"RB,CB",25-098,90,51,7,24,21,6,1,51,0,0,,0,,24,48,26,1,1,1,0,0,19,1
15,Emiliano Martínez,1.0,ar ARG,GK,30-072,90,39,30,39,0,0,0,39,0,0,,0,,17,63,19,0,0,0,0,0,15,0
16,16 Players,,,,,990,448,81,225,168,59,14,447,11,5,45.5,5,45.5,258,1030,416,12,5,4,18,9,228,15
