,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Kieffer Moore,21.0,wls WAL,FW,30-166,90,0,0,0,3,2,1,0,1,0,0,0,0,6,5,6,45.5
1,Ryan Christie,10.0,sct SCO,FW,27-333,87,0,0,0,3,0,0,0,1,0,0,0,0,5,2,1,66.7
2,Siriki Dembélé,20.0,ci CIV,FW,26-136,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
3,Jaidon Anthony,32.0,eng ENG,LM,23-051,90,0,0,0,0,1,0,2,0,1,0,0,0,2,1,2,33.3
4,Jefferson Lerma,8.0,co COL,CM,28-088,90,0,0,0,1,0,0,0,2,0,0,0,0,9,5,0,100.0
5,Joe Rothwell,14.0,eng ENG,CM,28-010,74,0,0,0,1,0,0,4,1,0,0,0,0,1,0,1,0.0
6,Ben Pearson,22.0,eng ENG,CM,28-017,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
7,Dango Ouattara,11.0,bf BFA,RM,20-344,90,0,0,0,1,1,1,5,1,1,0,0,0,5,2,2,50.0
8,Jordan Zemura,33.0,zw ZIM,LB,23-068,90,0,0,0,0,2,0,1,1,2,0,0,0,8,1,1,50.0
9,Lloyd Kelly,5.0,eng ENG,CB,24-107,90,1,0,0,1,0,0,0,1,1,0,0,0,3,2,1,66.7
10,Jack Stephens,3.0,eng ENG,CB,28-359,90,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,100.0
11,Adam Smith,15.0,eng ENG,RB,31-267,90,0,0,0,0,1,0,0,1,0,0,0,0,7,1,3,25.0
12,Neto,13.0,br BRA,GK,33-186,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,13 Players,,,,,990,1,0,0,10,7,2,12,9,6,0,0,0,53,20,18,52.6
