,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Dominic Solanke,9.0,eng ENG,"AM,FW",25-221,90,47,1,1,16,30,12,47,6,2,33.3,4,66.7,30,199,134,9,2,3,4,0,34,8
1,Philip Billing,29.0,dk DEN,"CM,AM",26-316,90,73,2,10,39,25,2,73,0,0,,0,,35,181,82,1,2,0,1,1,56,4
2,Ryan Christie,10.0,sct SCO,AM,28-060,60,36,1,2,11,23,2,36,4,2,50.0,1,25.0,23,109,46,1,1,0,0,0,29,4
3,Dango Ouattara,11.0,bf BFA,AM,21-071,30,17,0,1,8,11,3,17,5,4,80.0,1,20.0,11,113,88,2,2,0,4,0,10,1
4,Jefferson Lerma,8.0,co COL,CM,28-180,74,87,1,14,47,26,0,87,1,1,100.0,0,0.0,59,324,262,4,2,0,0,1,70,1
5,Lewis Cook,4.0,eng ENG,CM,26-079,16,11,0,2,7,2,0,11,0,0,,0,,8,66,19,0,0,0,0,0,9,0
6,Joe Rothwell,14.0,eng ENG,CM,28-102,45,45,0,5,26,15,0,45,0,0,,0,,34,248,145,3,4,0,0,0,34,2
7,Kieffer Moore,21.0,wls WAL,FW,30-258,45,21,1,3,7,11,4,21,0,0,,0,,11,48,21,0,0,0,0,1,17,5
8,Marcus Tavernier,16.0,eng ENG,WB,24-032,90,83,4,10,28,45,1,83,3,1,33.3,2,66.7,60,316,194,5,3,0,3,3,65,16
9,Adam Smith,15.0,eng ENG,WB,31-359,60,36,1,11,13,12,1,36,0,0,,0,,18,63,19,0,0,0,0,0,25,6
10,Jaidon Anthony,32.0,eng ENG,WB,23-143,30,24,1,4,7,13,1,24,1,0,0.0,1,100.0,15,153,105,3,1,0,1,0,14,3
11,Lloyd Kelly,5.0,eng ENG,CB,24-199,60,61,1,16,25,20,1,61,1,0,0.0,1,100.0,36,88,49,1,0,0,0,1,46,2
12,Matías Viña,18.0,uy URU,CB,25-165,30,29,1,5,18,6,1,29,0,0,,0,,15,109,65,0,1,0,3,0,17,3
13,Chris Mepham,6.0,wls WAL,CB,25-169,90,101,8,48,51,4,2,101,1,1,100.0,0,0.0,71,496,318,1,2,0,0,0,77,0
14,Jack Stephens,3.0,eng ENG,CB,29-086,90,116,7,40,68,8,0,116,0,0,,0,,86,444,330,5,3,0,0,0,91,0
15,Neto,13.0,br BRA,GK,33-278,90,26,22,26,0,0,0,26,0,0,,0,,19,112,92,0,0,0,0,0,10,0
16,16 Players,,,,,990,813,51,198,371,251,30,813,22,11,50.0,10,45.5,531,3069,1969,35,23,3,16,7,604,55
