,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Dominic Solanke,9.0,eng ENG,"FW,AM",25-248,90,1,1,0,0,1,0,0,,0,0,0,0,2,3,1,0
1,Jaidon Anthony,32.0,eng ENG,LW,23-170,90,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,1,0
2,David Brooks,7.0,wls WAL,RW,25-316,55,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
3,Kieffer Moore,21.0,wls WAL,FW,30-285,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
4,Ryan Christie,10.0,sct SCO,"AM,RW",28-087,65,1,1,0,1,0,1,5,20.0,4,1,1,0,1,2,1,0
5,Dango Ouattara,11.0,bf BFA,RW,21-098,25,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0
6,Jefferson Lerma,8.0,co COL,DM,28-207,90,1,1,0,1,0,1,3,33.3,2,1,0,1,3,4,1,0
7,Lewis Cook,4.0,eng ENG,DM,26-106,90,0,0,0,0,0,0,4,0.0,4,2,1,1,1,1,2,0
8,Lloyd Kelly,5.0,eng ENG,LB,24-226,90,3,1,1,2,0,0,0,,0,1,1,0,2,5,2,0
9,Marcos Senesi,25.0,ar ARG,CB,26-010,90,1,1,1,0,0,0,1,0.0,1,1,1,0,5,6,5,0
10,Illia Zabarnyi,27.0,ua UKR,CB,20-261,90,0,0,0,0,0,0,1,0.0,1,4,2,2,1,1,2,0
11,Adam Smith,15.0,eng ENG,RB,32-021,65,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0
12,Matías Viña,18.0,uy URU,RB,25-192,25,5,2,3,2,0,3,3,100.0,0,0,0,0,0,5,2,0
13,Neto,13.0,br BRA,GK,33-305,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,12,7,5,6,1,5,20,25.0,15,17,7,10,18,30,22,0
