,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Dominic Solanke,9.0,eng ENG,FW,25-256,90,18,17,1,0,0,0,0,0,0,0,0,0,13,0,1
1,Dango Ouattara,11.0,bf BFA,"LW,RW",21-106,90,21,19,1,0,0,0,1,0,0,0,0,0,14,1,0
2,David Brooks,7.0,wls WAL,RW,25-324,55,28,26,2,0,0,0,4,0,2,1,1,0,19,0,0
3,Matías Viña,18.0,uy URU,LW,25-200,35,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1
4,Ryan Christie,10.0,sct SCO,AM,28-095,64,26,26,0,0,0,0,0,0,0,0,0,0,22,0,1
5,Kieffer Moore,21.0,wls WAL,AM,30-293,26,8,8,0,0,0,0,1,0,0,0,0,0,6,0,0
6,Philip Billing,29.0,dk DEN,DM,26-351,90,62,60,2,1,0,2,2,0,1,0,0,0,51,0,2
7,Jefferson Lerma,8.0,co COL,DM,28-215,90,61,59,2,2,0,1,0,0,0,0,0,0,54,0,0
8,Lloyd Kelly,5.0,eng ENG,LB,24-234,90,83,70,13,1,0,1,1,12,0,0,0,0,65,0,1
9,Marcos Senesi,25.0,ar ARG,CB,26-018,90,92,88,4,3,0,0,0,0,0,0,0,0,82,0,0
10,Illia Zabarnyi,27.0,ua UKR,CB,20-269,90,73,73,0,0,0,0,0,0,0,0,0,0,67,0,0
11,Adam Smith,15.0,eng ENG,RB,32-029,82,45,37,8,1,0,0,5,7,0,0,0,0,34,0,2
12,Jaidon Anthony,32.0,eng ENG,RB,23-178,8,9,8,1,0,0,0,1,1,0,0,0,0,7,0,0
13,Mark Travers,1.0,ie IRL,GK,24-010,90,44,32,12,3,0,0,0,0,0,0,0,0,37,0,0
14,14 Players,,,,,990,576,529,46,11,0,4,15,20,3,1,1,0,475,1,8
