,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Ivan Toney,17.0,eng ENG,FW,26-339,90,14,22,63.6,144,29,13,14,92.9,1,4,25.0,0,2,0.0,0,0.0,0.0,0,2,0,0,2
1,Yoane Wissa,11.0,cd COD,LW,26-168,62,5,8,62.5,60,9,3,3,100.0,1,2,50.0,0,2,0.0,0,0.0,0.0,1,0,1,0,1
2,Kevin Schade,9.0,de GER,"FW,LW",21-083,28,5,6,83.3,65,12,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
3,Bryan Mbeumo,19.0,cm CMR,"RW,WB",23-195,90,38,51,74.5,589,146,24,28,85.7,12,14,85.7,2,5,40.0,1,0.2,0.1,1,1,4,1,5
4,Mathias Jensen,8.0,dk DEN,"LM,CM",27-048,90,62,78,79.5,1251,552,25,28,89.3,21,25,84.0,13,20,65.0,0,0.3,0.3,4,9,5,3,10
5,Christian Nørgaard,6.0,dk DEN,CM,28-345,82,35,46,76.1,542,176,20,23,87.0,11,15,73.3,3,5,60.0,0,0.0,0.1,1,3,1,1,6
6,Shandon Baptiste,26.0,gd GRN,CM,24-316,8,13,16,81.3,238,60,5,7,71.4,7,7,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,6
7,Josh Dasilva,10.0,eng ENG,RM,24-118,62,31,34,91.2,511,173,16,17,94.1,12,12,100.0,3,4,75.0,0,0.0,0.1,0,3,4,1,7
8,Mikkel Damsgaard,24.0,dk DEN,"AM,RM",22-230,28,12,18,66.7,169,25,7,10,70.0,5,7,71.4,0,0,,0,0.1,0.0,1,2,0,0,2
9,Rico Henry,3.0,eng ENG,LB,25-225,75,25,33,75.8,378,158,14,15,93.3,8,12,66.7,2,5,40.0,0,0.0,0.1,0,1,1,0,3
10,Vitaly Janelt,27.0,de GER,CB,24-284,15,14,18,77.8,306,78,4,5,80.0,7,9,77.8,3,3,100.0,0,0.0,0.0,0,1,0,0,5
11,Ben Mee,16.0,eng ENG,CB,33-150,90,57,70,81.4,1094,420,22,27,81.5,27,32,84.4,7,9,77.8,0,0.0,0.0,0,2,0,0,3
12,Ethan Pinnock,5.0,jm JAM,CB,29-265,90,62,71,87.3,1126,357,24,26,92.3,31,34,91.2,6,8,75.0,0,0.0,0.0,0,2,0,0,1
13,Aaron Hickey,2.0,sct SCO,RB,20-253,75,46,52,88.5,756,275,26,27,96.3,15,20,75.0,4,4,100.0,0,0.0,0.0,0,7,0,0,9
14,Keane Lewis-Potter,23.0,eng ENG,WB,21-361,15,9,16,56.3,111,27,7,10,70.0,2,4,50.0,0,2,0.0,0,0.0,0.0,0,2,1,0,2
15,David Raya,1.0,es ESP,GK,27-156,90,39,45,86.7,950,648,6,6,100.0,25,25,100.0,8,14,57.1,0,0.0,0.0,0,3,0,0,2
16,16 Players,,,,,990,467,584,80.0,8290,3145,219,250,87.6,186,223,83.4,52,85,61.2,1,0.6,0.8,8,40,17,6,64
