,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Ivan Toney,17.0,eng ENG,FW,27-016,90,28,3,8,8,12,4,28,1,0,0.0,0,0.0,12,54,24,1,2,0,2,0,13,4
1,Bryan Mbeumo,19.0,cm CMR,FW,23-237,78,24,1,4,4,16,6,24,1,1,100.0,0,0.0,14,56,36,2,1,0,0,0,15,5
2,Yoane Wissa,11.0,cd COD,"CM,FW",26-210,12,6,2,4,2,0,0,6,1,0,0.0,0,0.0,2,13,9,0,0,0,0,0,2,0
3,Mathias Jensen,8.0,dk DEN,CM,27-090,84,38,5,11,11,17,3,38,1,0,0.0,1,100.0,13,58,28,1,1,0,1,3,14,2
4,Saman Ghoddos,14.0,ir IRN,FW,29-207,6,3,0,0,0,3,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0
5,Christian Nørgaard,6.0,dk DEN,CM,29-022,90,31,3,12,17,2,0,31,0,0,,0,,10,27,9,0,0,0,0,0,11,0
6,Mikkel Damsgaard,24.0,dk DEN,CM,22-272,72,19,0,6,13,0,0,19,0,0,,0,,9,20,14,0,0,0,0,0,11,0
7,Josh Dasilva,10.0,eng ENG,CM,24-160,18,7,2,3,2,2,0,7,0,0,,0,,1,0,0,0,0,0,2,0,2,0
8,Rico Henry,3.0,eng ENG,LB,25-267,90,20,1,7,6,7,0,20,1,0,0.0,1,100.0,10,33,5,0,1,0,0,4,14,4
9,Ben Mee,16.0,eng ENG,CB,33-192,90,32,9,20,8,4,1,32,1,1,100.0,0,0.0,15,34,15,0,0,0,1,0,11,1
10,Ethan Pinnock,5.0,jm JAM,CB,29-307,90,44,20,34,9,1,1,44,0,0,,0,,17,98,37,0,0,0,0,0,19,0
11,Pontus Jansson,18.0,se SWE,CB,32-047,90,40,14,27,11,2,1,40,0,0,,0,,16,40,14,0,1,0,0,0,19,0
12,Aaron Hickey,2.0,sct SCO,RB,20-295,90,21,6,14,7,0,0,21,0,0,,0,,6,36,21,0,0,0,1,0,7,0
13,David Raya,1.0,es ESP,GK,27-198,90,60,51,58,2,0,0,60,0,0,,0,,36,201,108,0,0,0,0,0,22,0
14,14 Players,,,,,990,373,117,208,100,66,16,373,6,2,33.3,2,33.3,161,670,320,4,6,0,7,7,160,16
