,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Ivan Toney,17.0,eng ENG,FW,26-157,90,17,17,0,0,0,0,0,0,0,0,0,0,14,0,0
1,Yoane Wissa,11.0,cd COD,LW,25-351,82,18,17,0,0,1,0,0,0,0,0,0,0,13,1,1
2,Saman Ghoddos,14.0,ir IRN,LW,28-348,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Bryan Mbeumo,19.0,cm CMR,"RW,RM",23-013,90,30,24,6,1,1,1,4,3,2,2,0,0,18,0,0
4,Mathias Jensen,8.0,dk DEN,LM,26-231,59,29,19,8,2,0,1,1,4,1,0,1,0,22,2,0
5,Vitaly Janelt,27.0,de GER,CB,24-102,31,18,15,3,1,0,1,0,2,0,0,0,0,16,0,0
6,Christian Nørgaard,6.0,dk DEN,CM,28-163,90,44,39,4,1,1,0,2,1,0,0,0,0,32,1,0
7,Josh Dasilva,10.0,eng ENG,"RM,CM",23-301,73,30,29,1,1,0,0,1,0,0,0,0,0,27,0,0
8,Shandon Baptiste,26.0,gd GRN,CM,24-134,17,5,4,1,1,0,0,0,0,0,0,0,0,5,0,0
9,Rico Henry,3.0,eng ENG,"LB,LM",25-043,90,48,32,15,0,0,0,2,15,0,0,0,0,33,1,0
10,Ben Mee,16.0,eng ENG,CB,32-333,90,75,70,4,2,0,2,0,2,0,0,0,0,56,1,2
11,Pontus Jansson,18.0,se SWE,CB,31-188,90,57,57,0,0,0,0,0,0,0,0,0,0,46,0,1
12,Aaron Hickey,2.0,sct SCO,RB,20-071,58,19,14,5,2,0,0,1,3,0,0,0,0,17,0,0
13,Keane Lewis-Potter,23.0,eng ENG,RW,21-179,32,9,8,1,0,0,0,0,0,0,0,0,0,4,0,0
14,David Raya,1.0,es ESP,GK,26-339,90,68,54,13,7,0,2,0,0,0,0,0,0,44,1,0
15,15 Players,,,,,990,469,401,61,18,3,7,11,30,3,2,1,0,347,7,4
