,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Ivan Toney,17.0,eng ENG,FW,26-171,90,0,0,0,2,3,1,0,0,1,1,0,0,1,1,4,20.0
1,Keane Lewis-Potter,23.0,eng ENG,LW,21-193,58,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0
2,Josh Dasilva,10.0,eng ENG,"CM,LW",23-315,32,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,100.0
3,Bryan Mbeumo,19.0,cm CMR,"RW,FW",23-027,82,0,0,0,0,0,0,2,0,0,0,0,0,4,2,1,66.7
4,Yoane Wissa,11.0,cd COD,FW,26-000,8,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,
5,Mathias Jensen,8.0,dk DEN,"LM,CM",26-245,82,0,0,0,2,0,0,3,4,2,0,0,0,9,0,1,0.0
6,Mikkel Damsgaard,24.0,dk DEN,CM,22-062,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
7,Vitaly Janelt,27.0,de GER,CM,24-116,66,0,0,0,0,0,0,1,1,4,0,0,0,10,2,0,100.0
8,Mathias Jørgensen,13.0,dk DEN,CB,32-133,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
9,Shandon Baptiste,26.0,gd GRN,RM,24-148,58,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0.0
10,Frank Onyeka,15.0,ng NGA,"CM,RM",24-245,32,0,0,0,1,1,0,0,0,2,0,0,0,3,1,0,100.0
11,Rico Henry,3.0,eng ENG,"LB,WB",25-057,90,0,0,0,0,2,0,1,0,1,0,0,0,4,1,1,50.0
12,Ben Mee,16.0,eng ENG,CB,32-347,90,0,0,0,0,0,0,0,5,2,0,0,0,5,5,0,100.0
13,Pontus Jansson,18.0,se SWE,CB,31-202,90,0,0,0,0,0,0,0,2,0,0,0,0,2,3,1,75.0
14,Aaron Hickey,2.0,sct SCO,"RB,WB",20-085,90,1,0,0,1,1,0,1,2,2,0,0,0,9,0,0,
15,David Raya,1.0,es ESP,GK,26-353,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,16 Players,,,,,990,2,0,0,8,9,1,8,14,17,1,0,0,60,17,11,60.7
