,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Leandro Trossard,11.0,be BEL,"LW,AM,FW",27-269,90,0,0,0,0,2,0,2,0,0,0,0,0,3,0,2,0.0
1,Pascal Groß,13.0,de GER,"FW,RW",31-076,90,0,0,0,0,2,2,3,1,1,0,0,0,1,0,2,0.0
2,Enock Mwepu,8.0,zm ZAM,"FW,CM",24-241,62,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0.0
3,Danny Welbeck,18.0,eng ENG,FW,31-277,28,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0
4,Alexis Mac Allister,10.0,ar ARG,"CM,DM",23-249,90,0,0,0,1,1,0,0,3,2,0,0,0,17,2,0,100.0
5,Moisés Caicedo,25.0,ec ECU,"CM,DM",20-301,78,0,0,0,3,0,0,0,1,1,0,0,0,6,0,2,0.0
6,Deniz Undav,21.0,de GER,DM,26-042,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
7,Pervis Estupiñán,30.0,ec ECU,"LB,WB",24-221,62,1,0,0,1,2,0,1,1,1,1,0,0,4,1,1,50.0
8,Kaoru Mitoma,22.0,jp JPN,LW,25-102,28,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,
9,Solly March,7.0,eng ENG,"RW,LB,WB",28-041,90,0,0,0,0,0,0,5,1,1,0,0,0,5,1,2,33.3
10,Adam Webster,4.0,eng ENG,CB,27-238,90,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,75.0
11,Lewis Dunk,5.0,eng ENG,CB,30-282,90,0,0,0,3,0,0,0,1,2,0,0,1,9,2,3,40.0
12,Joël Veltman,34.0,nl NED,"RB,CB",30-227,63,0,0,0,1,0,0,2,1,0,0,0,0,3,0,0,
13,Tariq Lamptey,2.0,gh GHA,RB,21-334,27,0,0,0,0,1,0,3,2,1,0,0,0,2,1,0,100.0
14,Robert Sánchez,1.0,es ESP,GK,24-285,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
15,15 Players,,,,,990,1,0,0,11,9,2,17,11,12,1,0,1,61,13,18,41.9
