,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Kai Havertz,29.0,de GER,"FW,AM",23-119,85,18,22,81.8,215,64,13,16,81.3,2,2,100.0,1,1,100.0,0,0.0,0.1,0,2,0,0,2
1,Hakim Ziyech,22.0,ma MAR,AM,29-203,5,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
2,Christian Pulisic,10.0,us USA,LW,24-020,71,28,33,84.8,341,64,21,25,84.0,7,7,100.0,0,0,,0,0.1,0.0,1,4,0,0,3
3,Reece James,24.0,eng ENG,WB,22-304,19,8,8,100.0,134,18,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
4,Conor Gallagher,23.0,eng ENG,"RW,AM",22-244,85,44,56,78.6,584,179,31,33,93.9,11,16,68.8,2,5,40.0,0,0.4,0.4,3,1,4,2,8
5,Carney Chukwuemeka,30.0,eng ENG,AM,18-353,5,1,1,100.0,29,10,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
6,Mason Mount,19.0,eng ENG,AM,23-271,71,35,44,79.5,540,194,25,30,83.3,6,6,100.0,4,5,80.0,2,0.5,0.4,5,2,5,2,7
7,Armando Broja,18.0,al ALB,FW,21-028,19,1,2,50.0,9,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
8,Jorginho,5.0,it ITA,"DM,CM",30-292,90,54,58,93.1,768,226,31,32,96.9,19,21,90.5,3,3,100.0,0,0.0,0.0,0,7,0,0,6
9,Ruben Loftus-Cheek,12.0,eng ENG,DM,26-258,65,34,39,87.2,441,124,25,26,96.2,9,10,90.0,0,0,,0,0.4,0.2,2,6,1,0,5
10,Mateo Kovačić,8.0,hr CRO,"CM,DM",28-155,25,14,15,93.3,192,51,8,8,100.0,5,5,100.0,0,1,0.0,1,0.1,0.1,1,1,0,0,1
11,Marc Cucurella,32.0,es ESP,"LB,WB",24-078,90,68,79,86.1,1100,424,36,36,100.0,29,33,87.9,3,5,60.0,0,0.0,0.0,1,8,2,2,3
12,Kalidou Koulibaly,26.0,sn SEN,CB,31-110,90,72,80,90.0,1234,375,32,33,97.0,37,40,92.5,3,7,42.9,0,0.0,0.0,1,4,0,0,3
13,Trevoh Chalobah,14.0,eng ENG,CB,23-095,90,77,80,96.3,1358,370,25,26,96.2,47,47,100.0,4,6,66.7,0,0.0,0.0,0,8,1,0,7
14,César Azpilicueta,28.0,es ESP,"RB,CB",33-041,90,65,84,77.4,888,333,41,44,93.2,24,32,75.0,0,6,0.0,0,0.3,0.2,3,1,7,2,7
15,Kepa Arrizabalaga,1.0,es ESP,GK,28-005,90,28,32,87.5,535,345,15,15,100.0,7,7,100.0,6,10,60.0,0,0.0,0.0,0,0,0,0,0
16,16 Players,,,,,990,547,634,86.3,8368,2777,308,330,93.3,208,232,89.7,26,49,53.1,3,1.7,1.6,17,46,20,8,54
