,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Wilfried Zaha,11.0,ci CIV,"LW,FW",30-046,90,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0
1,Eberechi Eze,10.0,eng ENG,"LW,DM",24-180,59,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
2,Chris Richards,26.0,us USA,DM,22-273,31,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,0
3,Jordan Ayew,9.0,gh GHA,"FW,RW",31-106,90,3,3,1,2,0,0,0,,0,3,1,2,1,4,2,0
4,Jeffrey Schlupp,15.0,gh GHA,"LB,LM",30-003,82,1,1,0,1,0,0,0,,0,2,0,2,1,2,5,0
5,Jaïro Riedewald,44.0,nl NED,LB,26-108,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
6,Cheick Doucouré,28.0,ml MLI,"DM,CM",22-352,83,4,3,3,1,0,0,0,,0,2,1,1,2,6,2,0
7,Luka Milivojević,4.0,rs SRB,DM,31-263,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
8,Michael Olise,7.0,fr FRA,"RW,RM",21-014,83,2,1,0,2,0,1,3,33.3,2,1,0,1,0,2,2,0
9,Will Hughes,19.0,eng ENG,RW,27-253,7,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,0,0
10,Tyrick Mitchell,3.0,eng ENG,LB,23-116,33,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0
11,James Tomkins,5.0,eng ENG,CB,33-272,56,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,1,0
12,Joachim Andersen,16.0,dk DEN,CB,26-209,90,2,2,1,1,0,0,1,0.0,1,2,1,1,1,3,10,0
13,Nathaniel Clyne,17.0,eng ENG,RB,31-265,66,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0
14,Joel Ward,2.0,eng ENG,RB,33-058,24,0,0,0,0,0,0,0,,0,3,3,0,1,1,0,0
15,Vicente Guaita,13.0,es ESP,GK,35-350,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
16,16 Players,,,,,899,15,11,7,8,0,3,7,42.9,4,19,7,12,11,26,37,0
