,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Jordan Ayew,9.0,gh GHA,"FW,RM",31-115,90,18,22,81.8,221,7,10,12,83.3,6,7,85.7,0,0,,0,0.0,0.0,1,0,0,0,0
1,Wilfried Zaha,11.0,ci CIV,"LW,LM",30-055,90,22,26,84.6,294,82,18,19,94.7,3,4,75.0,1,1,100.0,0,0.1,0.1,2,1,2,0,2
2,Michael Olise,7.0,fr FRA,"RW,RM",21-023,72,33,49,67.3,586,139,14,15,93.3,16,19,84.2,3,13,23.1,0,0.1,0.1,2,3,0,0,4
3,Odsonne Édouard,22.0,fr FRA,FW,24-353,18,8,9,88.9,77,6,7,8,87.5,1,1,100.0,0,0,,0,0.1,0.1,2,0,0,0,0
4,Eberechi Eze,10.0,eng ENG,"AM,CM",24-189,73,34,41,82.9,515,128,18,20,90.0,14,17,82.4,2,4,50.0,0,0.2,0.1,3,4,2,0,7
5,Will Hughes,19.0,eng ENG,CM,27-262,17,9,11,81.8,161,45,4,4,100.0,4,5,80.0,1,2,50.0,0,0.0,0.0,1,0,0,0,1
6,Jeffrey Schlupp,15.0,gh GHA,DM,30-012,60,30,35,85.7,537,120,14,16,87.5,12,15,80.0,4,4,100.0,0,0.0,0.0,0,1,0,0,3
7,Jean-Philippe Mateta,14.0,fr FRA,FW,25-190,30,4,4,100.0,53,0,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
8,Cheick Doucouré,28.0,ml MLI,"DM,CM",22-361,90,49,59,83.1,824,202,22,23,95.7,24,28,85.7,3,4,75.0,0,0.1,0.1,3,6,1,0,7
9,Joel Ward,2.0,eng ENG,LB,33-067,90,40,56,71.4,679,305,18,22,81.8,20,26,76.9,2,7,28.6,0,0.0,0.1,0,5,1,1,7
10,Marc Guéhi,6.0,eng ENG,CB,22-175,90,45,51,88.2,931,425,15,16,93.8,24,27,88.9,6,7,85.7,0,0.0,0.0,0,3,0,0,4
11,Joachim Andersen,16.0,dk DEN,CB,26-218,90,50,63,79.4,1196,548,14,15,93.3,26,29,89.7,10,18,55.6,0,0.0,0.0,0,8,0,0,4
12,Nathaniel Clyne,17.0,eng ENG,RB,31-274,90,45,53,84.9,648,175,25,25,100.0,17,19,89.5,0,4,0.0,0,0.0,0.0,0,4,0,0,2
13,Vicente Guaita,13.0,es ESP,GK,35-359,90,19,32,59.4,456,298,2,2,100.0,10,10,100.0,5,17,29.4,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,406,511,79.5,7178,2480,183,199,92.0,179,209,85.6,37,81,45.7,0,0.7,0.7,14,35,6,1,41
