,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Dominic Calvert-Lewin,9.0,eng ENG,FW,25-234,60,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,85.7
1,Neal Maupay,20.0,fr FRA,FW,26-083,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
2,Dwight McNeil,7.0,eng ENG,LW,22-348,70,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,100.0
3,Anthony Gordon,10.0,eng ENG,LW,21-254,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
4,Demarai Gray,11.0,jm JAM,RW,26-130,90,0,0,0,0,2,0,7,1,1,0,0,0,4,1,0,100.0
5,Amadou Onana,8.0,be BEL,LM,21-081,60,0,0,0,1,1,0,0,1,0,0,0,0,3,3,1,75.0
6,Abdoulaye Doucouré,16.0,ml MLI,LM,29-308,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
7,Idrissa Gana Gueye,27.0,sn SEN,CM,33-040,45,0,0,0,3,0,0,0,4,3,0,0,0,5,0,0,
8,James Garner,37.0,eng ENG,CM,21-237,45,0,0,0,0,0,0,4,1,0,0,0,0,7,0,0,
9,Alex Iwobi,17.0,ng NGA,RM,26-186,90,0,0,0,0,1,0,2,0,2,0,0,0,6,0,1,0.0
10,Vitaliy Mykolenko,19.0,ua UKR,LB,23-160,90,0,0,0,1,0,0,4,0,0,0,0,0,7,0,0,
11,James Tarkowski,2.0,eng ENG,CB,29-351,90,0,0,0,2,0,0,0,2,0,0,0,0,2,2,1,66.7
12,Conor Coady,30.0,eng ENG,CB,29-253,90,0,0,0,0,1,0,1,0,0,0,0,0,1,3,1,75.0
13,Séamus Coleman,23.0,ie IRL,RB,34-025,70,0,0,0,0,0,0,1,2,1,0,0,0,5,1,0,100.0
14,Nathan Patterson,3.0,sct SCO,RB,21-020,20,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,
15,Jordan Pickford,1.0,eng ENG,GK,28-243,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16,16 Players,,,,,990,0,0,0,9,5,0,26,11,7,0,0,0,50,19,6,76.0
