,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Aleksandar Mitrović,9.0,rs SRB,FW,28-177,90,0,0,0,0,0,0,0,,0,3,1,2,0,0,2,0
1,Manor Solomon,11.0,il ISR,LW,23-231,74,5,3,2,1,2,1,1,100.0,0,0,0,0,0,5,0,0
2,Daniel James,21.0,wls WAL,LW,25-122,16,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
3,Bobby Reid,14.0,jm JAM,"RW,AM",30-038,90,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
4,Andreas Pereira,18.0,br BRA,AM,27-070,75,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,0,0
5,Harry Wilson,8.0,wls WAL,RW,25-355,15,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
6,Saša Lukić,28.0,rs SRB,DM,26-211,90,1,0,0,1,0,0,0,,0,3,1,2,0,1,0,0
7,Harrison Reed,6.0,eng ENG,DM,28-044,90,2,1,2,0,0,0,1,0.0,1,1,1,0,0,2,1,0
8,Antonee Robinson,33.0,us USA,LB,25-216,90,2,1,1,1,0,1,2,50.0,1,3,0,3,4,6,1,0
9,Tim Ream,13.0,us USA,CB,35-158,90,1,0,1,0,0,1,2,50.0,1,2,0,2,1,2,2,1
10,Tosin Adarabioyo,4.0,eng ENG,CB,25-169,90,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,5,0
11,Kenny Tete,2.0,nl NED,RB,27-154,90,2,2,2,0,0,1,4,25.0,3,2,1,1,1,3,1,0
12,Bernd Leno,17.0,de GER,GK,31-008,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,14,8,9,3,2,4,18,22.2,14,16,4,12,7,21,12,1
