,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Aleksandar Mitrović,9.0,rs SRB,FW,28-246,90,12,21,57.1,124,63,7,11,63.6,2,3,66.7,0,2,0.0,0,0.0,0.1,0,1,1,0,2
1,Willian,20.0,br BRA,LW,34-284,90,21,35,60.0,408,117,12,16,75.0,2,3,66.7,6,13,46.2,1,0.3,0.2,4,0,1,0,3
2,Harry Wilson,8.0,wls WAL,RW,26-059,79,17,23,73.9,242,48,11,14,78.6,3,4,75.0,2,2,100.0,0,0.0,0.1,0,1,2,0,2
3,Bobby Reid,14.0,jm JAM,"AM,RW",30-107,11,1,2,50.0,16,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
4,Tom Cairney,10.0,sct SCO,AM,32-120,79,27,36,75.0,472,157,11,13,84.6,14,17,82.4,2,4,50.0,0,0.2,0.1,2,2,1,0,4
5,Manor Solomon,11.0,il ISR,RW,23-300,11,1,1,100.0,25,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
6,João Palhinha,26.0,pt POR,DM,27-315,90,20,25,80.0,391,77,9,9,100.0,8,11,72.7,3,4,75.0,0,0.0,0.0,0,1,0,0,1
7,Harrison Reed,6.0,eng ENG,DM,28-113,90,20,30,66.7,292,18,10,16,62.5,9,10,90.0,0,2,0.0,0,0.3,0.2,1,1,0,0,1
8,Antonee Robinson,33.0,us USA,LB,25-285,90,31,41,75.6,596,191,9,11,81.8,16,18,88.9,4,8,50.0,0,0.1,0.0,1,1,4,1,4
9,Issa Diop,31.0,fr FRA,CB,26-131,90,33,36,91.7,487,218,20,21,95.2,12,13,92.3,1,2,50.0,0,0.0,0.0,0,1,0,0,1
10,Tosin Adarabioyo,4.0,eng ENG,CB,25-238,90,40,53,75.5,964,480,11,15,73.3,20,23,87.0,8,12,66.7,0,0.0,0.0,0,7,0,0,4
11,Kenny Tete,2.0,nl NED,RB,27-223,90,33,54,61.1,490,176,23,28,82.1,7,12,58.3,2,5,40.0,0,0.0,0.0,0,2,0,0,3
12,Bernd Leno,17.0,de GER,GK,31-077,90,38,47,80.9,755,472,8,9,88.9,27,27,100.0,3,11,27.3,0,0.0,0.0,0,0,0,0,0
13,13 Players,,,,,990,294,404,72.8,5262,2017,131,163,80.4,122,144,84.7,31,65,47.7,1,0.8,0.6,8,17,9,1,25
