,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Aleksandar Mitrović,9.0,rs SRB,FW,28-000,89,0,0,0,3,1,0,1,0,1,0,0,0,3,5,1,83.3
1,Carlos Vinícius,30.0,br BRA,FW,27-175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2,Bobby Reid,14.0,jm JAM,LW,29-226,89,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0.0
3,Neeskens Kebano,7.0,cd COD,LW,30-190,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
4,Willian,20.0,br BRA,RW,34-038,69,0,0,0,0,2,0,4,1,1,0,0,0,2,1,1,50.0
5,Daniel James,21.0,wls WAL,RW,24-310,21,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,
6,Andreas Pereira,18.0,br BRA,AM,26-258,82,1,0,0,3,3,0,4,0,0,0,0,0,7,0,2,0.0
7,Tom Cairney,10.0,sct SCO,AM,31-239,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0
8,João Palhinha,26.0,pt POR,DM,27-069,90,1,0,0,1,2,0,1,2,1,0,0,0,8,4,2,66.7
9,Harrison Reed,6.0,eng ENG,DM,27-232,90,0,0,0,1,0,1,1,0,0,0,0,0,7,1,1,50.0
10,Tim Ream,13.0,us USA,LB,34-346,90,0,0,0,0,0,0,1,2,0,0,0,0,2,1,3,25.0
11,Issa Diop,31.0,fr FRA,CB,25-250,90,1,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0.0
12,Tosin Adarabioyo,4.0,eng ENG,CB,24-357,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,50.0
13,Kenny Tete,2.0,nl NED,RB,26-342,90,1,0,0,1,0,0,5,0,1,0,0,0,2,1,2,33.3
14,Bernd Leno,17.0,de GER,GK,30-196,90,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
15,15 Players,,,,,990,4,0,0,10,10,1,22,6,5,0,0,0,51,15,18,45.5
