,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Jamie Vardy,9.0,eng ENG,FW,35-357,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
1,Harvey Barnes,7.0,eng ENG,LW,25-025,90,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0
2,Ayoze Pérez,17.0,es ESP,"AM,CM,RW",29-158,90,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,0,0
3,Youri Tielemans,8.0,be BEL,"DM,CM,AM",25-241,90,1,1,0,0,1,0,1,0.0,1,2,0,2,2,3,0,0
4,Boubakary Soumaré,42.0,fr FRA,DM,23-310,7,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
5,Marc Albrighton,11.0,eng ENG,RW,33-046,83,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,1,0
6,Wilfred Ndidi,25.0,ng NGA,DM,26-018,71,5,4,3,2,0,1,2,50.0,1,2,0,2,2,7,1,0
7,Nampalys Mendy,24.0,sn SEN,DM,30-194,19,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
8,Luke Thomas,33.0,eng ENG,LB,21-207,71,2,2,1,1,0,2,3,66.7,1,2,1,1,5,7,2,0
9,Kelechi Iheanacho,14.0,ng NGA,FW,26-092,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,Wout Faes,3.0,be BEL,CB,24-275,90,2,2,0,2,0,0,0,,0,0,0,0,1,3,5,0
11,Daniel Amartey,18.0,gh GHA,CB,28-013,90,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,2,0
12,Timothy Castagne,27.0,be BEL,"RB,CB",27-029,90,4,3,3,1,0,3,4,75.0,1,1,0,1,2,6,2,0
13,Danny Ward,1.0,wls WAL,GK,29-195,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
14,14 Players,,,,,990,17,14,8,8,1,7,18,38.9,11,12,2,10,13,30,15,0
