,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Jamie Vardy,9.0,eng ENG,FW,36-117,75,0,0,0,1,2,2,0,0,17,0,0,0,1.1,0.3,0.0,3,0,5,11,45.5,0,7,1,3,2
1,Patson Daka,20.0,zm ZAM,FW,24-211,15,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.2,1,1,2,2,100.0,0,3,0,0,0
2,Harvey Barnes,7.0,eng ENG,LW,25-150,90,2,0,0,0,3,3,1,0,29,0,1,1,0.3,0.3,0.0,1,0,9,16,56.3,3,19,2,3,1
3,Dennis Praet,26.0,be BEL,RW,28-359,45,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.0,1,0,10,14,71.4,1,11,1,2,1
4,Tetê,37.0,br BRA,RW,23-082,45,0,0,0,0,1,0,0,0,20,0,0,1,0.1,0.1,0.0,2,1,13,15,86.7,2,14,2,5,3
5,James Maddison,10.0,eng ENG,AM,26-166,90,1,1,1,1,5,1,1,0,56,2,0,3,1.5,0.2,0.3,11,2,22,34,64.7,6,36,8,11,5
6,Boubakary Soumaré,42.0,fr FRA,DM,24-070,75,0,0,0,0,0,0,1,0,41,1,2,2,0.0,0.0,0.0,2,0,25,32,78.1,3,23,1,2,2
7,Kiernan Dewsbury-Hall,22.0,eng ENG,DM,24-244,15,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,11,12,91.7,4,10,0,2,2
8,Youri Tielemans,8.0,be BEL,DM,26-001,59,0,0,0,0,3,1,0,0,41,0,1,1,0.1,0.1,0.1,5,0,31,34,91.2,4,18,2,1,1
9,Wilfred Ndidi,25.0,ng NGA,DM,26-143,31,0,0,0,0,0,0,0,0,24,2,0,0,0.0,0.0,0.0,0,0,16,20,80.0,2,9,1,1,0
10,Victor Bernth Kristiansen,16.0,dk DEN,LB,20-143,75,0,0,0,0,0,0,0,0,51,4,0,2,0.0,0.0,0.1,1,0,28,45,62.2,5,26,1,1,0
11,Luke Thomas,33.0,eng ENG,LB,21-332,15,0,0,0,0,0,0,0,0,17,1,2,1,0.0,0.0,0.0,0,0,13,14,92.9,1,10,0,1,0
12,Çağlar Söyüncü,4.0,tr TUR,CB,26-350,90,0,0,0,0,0,0,0,0,60,2,3,3,0.0,0.0,0.0,1,0,37,49,75.5,2,31,2,0,0
13,Wout Faes,3.0,be BEL,CB,25-035,90,0,0,0,0,1,0,0,0,69,1,2,1,0.1,0.1,0.0,0,0,48,57,84.2,4,44,0,0,0
14,Timothy Castagne,27.0,be BEL,RB,27-154,90,0,0,0,0,1,0,0,0,49,0,2,1,0.1,0.1,0.0,2,1,31,41,75.6,1,29,2,0,0
15,Daniel Iversen,31.0,dk DEN,GK,25-293,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,15,23,65.2,0,14,0,0,0
16,16 Players,,,,,990,3,2,1,2,16,7,3,0,535,14,13,17,3.2,1.2,0.7,30,5,316,419,75.4,38,304,23,32,17
