,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Jamie Vardy,9.0,eng ENG,FW,35-265,61,7,6,1,0,0,0,0,0,0,0,0,0,3,0,0
1,Patson Daka,20.0,zm ZAM,FW,23-359,29,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0
2,Harvey Barnes,7.0,eng ENG,LM,24-298,90,26,26,0,0,1,0,1,0,0,0,0,0,17,0,1
3,Kiernan Dewsbury-Hall,22.0,eng ENG,CM,24-027,90,46,44,0,0,0,0,2,0,0,0,0,0,31,2,2
4,Youri Tielemans,8.0,be BEL,CM,25-149,79,68,66,2,1,0,0,0,1,0,0,0,0,64,0,1
5,Dennis Praet,26.0,be BEL,CM,28-142,11,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
6,James Maddison,10.0,eng ENG,RM,25-314,84,55,45,10,4,0,0,8,0,6,3,1,1,45,0,0
7,Marc Albrighton,11.0,eng ENG,RM,32-319,6,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
8,Wilfred Ndidi,25.0,ng NGA,DM,25-291,45,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0
9,Boubakary Soumaré,42.0,fr FRA,DM,23-218,45,27,25,2,2,0,0,0,0,0,0,0,0,27,0,0
10,James Justin,2.0,eng ENG,LB,24-222,90,59,49,10,1,0,1,1,9,0,0,0,0,48,0,1
11,Wout Faes,3.0,be BEL,CB,24-183,90,70,68,2,2,0,0,0,0,0,0,0,0,56,0,0
12,Jonny Evans,6.0,nir NIR,CB,34-273,90,57,55,1,1,0,0,0,0,0,0,0,0,45,1,2
13,Timothy Castagne,27.0,be BEL,RB,26-302,90,53,49,4,1,0,0,4,3,0,0,0,0,48,0,0
14,Danny Ward,1.0,wls WAL,GK,29-103,90,29,20,9,3,0,0,0,0,0,0,0,0,25,0,0
15,15 Players,,,,,990,528,484,41,15,1,1,17,13,6,3,1,1,436,3,7
