,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Cody Gakpo,18.0,nl NED,FW,23-259,81,26,0,1,7,18,8,26,1,0,0.0,1,100.0,11,32,20,1,0,0,1,3,19,1
1,Jordan Henderson,14.0,eng ENG,RM,32-218,9,12,0,0,8,4,0,12,0,0,,0,,7,47,28,1,0,0,1,0,8,2
2,Harvey Elliott,19.0,eng ENG,"LW,RM",19-292,81,38,0,5,19,14,3,38,1,1,100.0,0,0.0,22,109,77,2,2,0,0,0,29,6
3,Curtis Jones,17.0,eng ENG,LW,21-356,9,6,0,0,1,5,1,6,1,0,0.0,1,100.0,5,13,2,0,0,0,1,0,5,1
4,Mohamed Salah,11.0,eg EGY,RW,30-220,90,45,0,1,16,28,9,45,4,2,50.0,2,50.0,25,106,59,3,0,3,2,1,33,12
5,Thiago Alcántara,6.0,es ESP,LM,31-285,90,78,4,22,39,17,0,78,4,2,50.0,1,25.0,41,115,51,0,2,0,0,3,44,0
6,Stefan Bajcetic,43.0,es ESP,CM,18-091,81,39,2,8,24,7,1,39,2,0,0.0,1,50.0,18,88,60,1,1,0,1,0,21,0
7,Fabinho,3.0,br BRA,CM,29-090,9,11,1,4,2,5,1,11,0,0,,0,,4,12,6,0,0,0,0,2,1,0
8,Naby Keïta,8.0,gn GUI,RM,27-345,62,32,0,3,22,7,2,32,1,1,100.0,0,0.0,18,42,21,0,0,0,1,0,22,4
9,Darwin Núñez,27.0,uy URU,"LW,FW",23-211,28,15,0,0,4,11,4,15,1,0,0.0,1,100.0,7,62,45,2,1,2,0,0,8,3
10,Andrew Robertson,26.0,sct SCO,LB,28-316,90,69,3,23,29,17,2,69,2,1,50.0,1,50.0,33,177,127,3,1,1,0,0,40,5
11,Joe Gomez,2.0,eng ENG,CB,25-243,90,67,13,38,29,2,1,67,0,0,,0,,43,291,221,2,1,0,1,0,38,0
12,Ibrahima Konaté,5.0,fr FRA,CB,23-241,90,71,6,46,25,1,0,71,2,1,50.0,0,0.0,43,238,182,1,0,0,0,0,45,0
13,James Milner,7.0,eng ENG,RB,37-017,71,70,1,16,30,24,0,70,4,1,25.0,3,75.0,34,217,137,4,2,0,0,0,48,9
14,Trent Alexander-Arnold,66.0,eng ENG,RB,24-106,19,22,0,9,10,5,1,22,0,0,,0,,9,63,39,0,1,0,1,1,10,0
15,Alisson,1.0,br BRA,GK,30-111,90,54,43,53,1,0,0,54,0,0,,0,,32,131,68,0,0,0,0,0,29,0
16,16 Players,,,,,990,655,73,229,266,165,33,655,23,9,39.1,11,47.8,352,1743,1143,20,11,6,9,10,400,43
