,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Darwin Núñez,27.0,uy URU,FW,23-225,90,7,15,46.7,103,23,1,4,25.0,5,7,71.4,0,1,0.0,0,0.2,0.1,1,1,0,0,2
1,Cody Gakpo,18.0,nl NED,"LW,LM",23-273,84,7,15,46.7,84,28,5,7,71.4,2,7,28.6,0,1,0.0,0,0.1,0.1,2,0,1,0,1
2,Alex Oxlade-Chamberlain,15.0,eng ENG,LM,29-173,6,3,4,75.0,30,1,3,3,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0
3,Mohamed Salah,11.0,eg EGY,"RW,FW",30-234,90,21,29,72.4,266,74,17,19,89.5,3,3,100.0,1,2,50.0,0,0.0,0.0,0,3,1,0,4
4,Thiago Alcántara,6.0,es ESP,"LM,CM",31-299,84,58,66,87.9,996,320,29,30,96.7,20,25,80.0,8,9,88.9,0,0.1,0.1,3,9,1,0,9
5,James Milner,7.0,eng ENG,CM,37-031,6,5,5,100.0,81,14,3,3,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0
6,Stefan Bajcetic,43.0,es ESP,CM,18-105,75,39,47,83.0,547,138,26,29,89.7,10,13,76.9,2,4,50.0,0,0.0,0.0,0,1,1,0,4
7,Harvey Elliott,19.0,eng ENG,RM,19-306,15,7,11,63.6,80,9,4,6,66.7,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,0
8,Naby Keïta,8.0,gn GUI,RM,27-359,64,22,26,84.6,268,66,11,12,91.7,7,8,87.5,1,1,100.0,0,0.3,0.1,2,1,0,0,0
9,Jordan Henderson,14.0,eng ENG,"CM,RM",32-232,26,22,27,81.5,344,69,11,14,78.6,8,8,100.0,2,4,50.0,0,0.0,0.0,0,1,0,0,0
10,Andrew Robertson,26.0,sct SCO,LB,28-330,85,44,60,73.3,805,316,16,20,80.0,22,26,84.6,5,11,45.5,0,0.0,0.1,1,4,4,1,11
11,Kostas Tsimikas,21.0,gr GRE,LB,26-268,5,6,6,100.0,112,46,3,3,100.0,1,1,100.0,2,2,100.0,0,0.0,0.0,1,0,0,0,1
12,Joe Gomez,2.0,eng ENG,CB,25-257,90,87,97,89.7,1534,395,34,38,89.5,44,46,95.7,6,8,75.0,0,0.0,0.0,0,6,0,0,2
13,Joël Matip,32.0,cm CMR,CB,31-180,90,67,78,85.9,1069,274,25,30,83.3,42,43,97.7,0,4,0.0,0,0.1,0.1,2,4,2,0,7
14,Trent Alexander-Arnold,66.0,eng ENG,RB,24-120,90,71,93,76.3,1295,510,35,38,92.1,27,35,77.1,9,19,47.4,0,0.6,0.1,3,9,3,0,7
15,Alisson,1.0,br BRA,GK,30-125,90,34,35,97.1,533,307,17,17,100.0,14,14,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0
16,16 Players,,,,,990,500,614,81.4,8147,2590,240,273,87.9,208,241,86.3,39,71,54.9,0,1.4,0.8,15,41,13,1,48
